,1,2,3,4,5,6,7,8,9,10
0,39,24,23,30,33,19,24,19,25,22
10,22,29,30,26,13,25,23,19,20,36
20,27,20,34,31,27,21,34,16,21,23
30,29,24,22,26,23,31,26,23,22,11
40,14,21,23,22,21,17,24,30,29,25
50,23,29,22,40,28,29,32,28,20,19
60,18,29,34,26,32,25,17,28,35,21
70,21,25,30,22,23,21,26,17,20,19
80,27,21,24,27,20,28,19,29,25,22
90,30,33,20,18,24,16,21,18,26,24
100,16,38,27,34,18,23,32,21,27,22
110,31,25,23,23,21,21,27,29,31,24
120,28,23,24,28,26,35,27,29,21,28
130,22,21,23,35,31,27,18,18,26,20
140,21,21,23,23,29,37,23,34,37,32
150,23,17,24,25,35,18,23,24,21,23
160,28,20,19,21,14,21,22,24,21,24
170,31,14,26,28,23,34,24,19,18,20
180,32,24,29,26,24,23,20,26,29,40
190,16,20,26,31,25,34,23,27,21,31
