Time,Tk,R
1,"21,7025489","17,8583927"
2,"21,6946926","17,8588542"
3,"21,7090415","17,8585758"
4,"21,7125778","17,8585891"
5,"21,6893253","17,8591518"
6,"21,6702442","17,858345"
7,"21,6599063","17,8589477"
8,"21,6693973","17,8587856"
9,"21,7111968","17,8582096"
10,"21,7126998","17,8585205"
11,"21,7144603","17,8586082"
12,"21,7300796","17,858427"
13,"21,7454414","17,8580894"
14,"21,7515316","17,8589687"
15,"21,7573432","17,8587703"
16,"21,7255878","17,8584671"
17,"21,6902084","17,8584194"
18,"21,6679458","17,8580284"
19,"21,6695003","17,8579292"
20,"21,6894226","17,8576774"
21,"21,7062778","17,8581447"
22,"21,7172622","17,8584499"
23,"21,7249927","17,8577232"
24,"21,7249641","17,8579673"
25,"21,7226409","17,8581218"
26,"21,7077789","17,8581504"
27,"21,693037","17,8583335"
28,"21,6620292","17,8579444"
29,"21,6675109","17,858736"
30,"21,647335","17,8591938"
31,"21,6400966","17,8578643"
32,"21,6195373","17,8575172"
33,"21,6531715","17,8576469"
34,"21,6910858","17,8577613"
35,"21,6842651","17,8578338"
36,"21,6781692","17,8577327"
37,"21,6640167","17,8576221"
38,"21,6627712","17,8576107"
39,"21,6488876","17,8582706"
40,"21,6391735","17,8584938"
41,"21,6406059","17,8576507"
42,"21,6580066","17,857212"
43,"21,6936798","17,8576469"
44,"21,6971397","17,857973"
45,"21,7132701","17,8578567"
46,"21,7303295","17,8574657"
47,"21,7290763","17,8580131"
48,"21,7381973","17,8579216"
49,"21,7465457","17,8580608"
50,"21,7633056","17,8581981"
51,"21,7563514","17,8577499"
52,"21,7609539","17,8578033"
53,"21,7307929","17,8580036"
54,"21,7022075","17,8579921"
55,"21,6916561","17,8576183"
56,"21,6503124","17,8577117"
57,"21,6129722","17,8576583"
58,"21,5972175","17,8579597"
59,"21,5546646","17,8562335"
60,"21,532257","17,856451"
61,"21,5231533","17,8562183"
62,"21,5015163","17,8574028"
63,"21,4975814","17,8574428"
64,"21,4781093","17,8570594"
65,"21,4731101","17,857233"
66,"21,4676837","17,8571357"
67,"21,4580554","17,857109"
68,"21,4502868","17,8572654"
69,"21,4732837","17,8578701"
70,"21,550579","17,8572292"
71,"21,5459785","17,8570747"
72,"21,5232925","17,856966"
73,"21,5653324","17,8573627"
74,"21,6689128","17,8570499"
75,"21,7420043","17,857563"
76,"21,7532787","17,8574371"
77,"21,7673816","17,8571815"
78,"21,7804527","17,8571147"
79,"21,7948703","17,8569355"
80,"21,8313426","17,8568935"
81,"21,8524017","17,8571758"
82,"21,860321","17,8572063"
83,"21,8636245","17,8566226"
84,"21,8772354","17,8568"
85,"21,8720645","17,8573303"
86,"21,8446273","17,8571472"
87,"21,8135471","17,8568115"
88,"21,8027057","17,8573932"
89,"21,800909","17,8574123"
90,"21,7867012","17,8565788"
91,"21,7945556","17,8566226"
92,"21,8063125","17,8572235"
93,"21,8097095","17,8573455"
94,"21,8127994","17,8574008"
95,"21,8062477","17,8571987"
96,"21,7869319","17,8572025"
97,"21,7519836","17,8568134"
98,"21,7631282","17,8572959"
99,"21,7703971","17,8574657"
100,"21,7613201","17,8570785"
101,"21,7230663","17,8570861"
102,"21,7208175","17,8571071"
103,"21,7095985","17,8570728"
104,"21,7032966","17,8569622"
105,"21,7160682","17,8569374"
106,"21,7124328","17,8563308"
107,"21,696743","17,8567466"
108,"21,696537","17,8565578"
109,"21,6942481","17,8566913"
110,"21,6646423","17,8575668"
111,"21,6625537","17,8572597"
112,"21,6387081","17,8568649"
113,"21,6141147","17,8574638"
114,"21,5869312","17,8574275"
115,"21,5659866","17,8568248"
116,"21,5444793","17,8571681"
117,"21,5321178","17,8568515"
118,"21,5433235","17,857006"
119,"21,5252094","17,8568725"
120,"21,4982585","17,8565177"
121,"21,4827976","17,8566265"
122,"21,4804687","17,8571281"
123,"21,5752773","17,8570232"
124,"21,618576","17,8571414"
125,"21,5951919","17,8566741"
126,"21,5395812","17,8570098"
127,"21,5272979","17,85643"
128,"21,5290603","17,8569927"
129,"21,5021114","17,8568172"
130,"21,4869556","17,8572864"
131,"21,4803047","17,8560943"
132,"21,4707241","17,8560771"
133,"21,4765548","17,856388"
134,"21,4925975","17,8566551"
135,"21,4864654","17,8563442"
136,"21,5075035","17,8567619"
137,"21,5278244","17,8561935"
138,"21,5543537","17,8566856"
139,"21,6011981","17,8564987"
140,"21,648468","17,8571281"
141,"21,6964054","17,8562698"
142,"21,729393","17,8563575"
143,"21,7784786","17,8566188"
144,"21,7940292","17,8565654"
145,"21,8171234","17,8558502"
146,"21,8301887","17,8566093"
147,"21,8380374","17,8564319"
148,"21,8523788","17,8563175"
149,"21,8481693","17,8563022"
150,"21,8321323","17,8561305"
151,"21,8275413","17,855791"
152,"21,8396663","17,8551673"
153,"21,8304138","17,8564949"
154,"21,8357448","17,8562812"
155,"21,8383064","17,8566093"
156,"21,8481159","17,8560142"
157,"21,8340835","17,856369"
158,"21,8332748","17,8561801"
159,"21,8383121","17,8557853"
160,"21,8486557","17,8554"
161,"21,8491058","17,8578433"
162,"21,8445205","17,860136"
163,"21,8255863","17,8536739"
164,"21,8085231","17,8505001"
165,"21,8105964","17,8447055"
166,"21,7974319","17,8379764"
167,"21,7935352","17,8320789"
168,"21,8140544","17,8259735"
169,"21,8352832","17,8195953"
170,"21,7911376","17,8135719"
171,"21,8004951","17,8082885"
172,"21,8008422","17,8025741"
173,"21,7747287","17,7967052"
174,"21,7407894","17,7913494"
175,"21,7327404","17,7859535"
176,"21,6855716","17,7808284"
177,"21,6831779","17,7750778"
178,"21,7036037","17,7708568"
179,"21,7123603","17,7659206"
180,"21,7105274","17,7601852"
181,"21,6862163","17,7557697"
182,"21,6675586","17,7514991"
183,"21,651226","17,7466907"
184,"21,6481418","17,7429561"
185,"21,6628475","17,7384338"
186,"21,6742496","17,7345809"
187,"21,6977615","17,7304267"
188,"21,7110233","17,7254562"
189,"21,7030735","17,7217311"
190,"21,7207202","17,7178668"
191,"21,766035","17,7143669"
192,"21,7724666","17,7105846"
193,"21,7887744","17,7061748"
194,"21,7909927","17,7023391"
195,"21,7587356","17,6987571"
196,"21,7435035","17,6955795"
197,"21,7559223","17,6921005"
198,"21,7747573","17,6890106"
199,"21,7659301","17,6854305"
200,"21,7888259","17,6820793"
201,"21,8090114","17,6795005"
202,"21,8315773","17,6762828"
203,"21,8303928","17,6726951"
204,"21,8285655","17,6695766"
205,"21,8441028","17,6667232"
206,"21,9018001","17,6646881"
207,"21,8728809","17,6617431"
208,"21,7935428","17,6590061"
209,"21,8220081","17,6563014"
210,"21,8083801","17,6531562"
211,"21,8005657","17,650711"
212,"21,7810192","17,6479053"
213,"21,7389278","17,6451663"
214,"21,7447547","17,6424789"
215,"21,7301464","17,6407356"
216,"21,6601715","17,6386871"
217,"21,6283531","17,6364555"
218,"21,6556587","17,6335906"
219,"21,6656475","17,6310749"
220,"21,6720695","17,6289691"
221,"21,638895","17,626688"
222,"21,6261997","17,6250076"
223,"21,6069412","17,622673"
224,"21,598154","17,6209945"
225,"21,590023","17,6179256"
226,"21,6073589","17,6165676"
227,"21,6002635","17,6147594"
228,"21,6016578","17,6127681"
229,"21,6295089","17,6106052"
230,"21,700344","17,6088104"
231,"21,6654567","17,6073741"
232,"21,6308212","17,6053867"
233,"21,6378231","17,6029586"
234,"21,6320381","17,6027317"
235,"21,6462726","17,600521"
236,"21,65596","17,5993747"
237,"21,663475","17,5974216"
238,"21,6885223","17,5956115"
239,"21,6792182","17,5940685"
240,"21,6780815","17,5924606"
241,"21,6863174","17,5908222"
242,"21,7144622","17,5900573"
243,"21,7353267","17,5884628"
244,"21,7325992","17,5870647"
245,"21,7366409","17,5857791"
246,"21,7394332","17,5844726"
247,"21,7379436","17,5830993"
248,"21,7443943","17,5813236"
249,"21,713808","17,5800113"
250,"21,6708164","17,5785465"
251,"21,6515903","17,5777015"
252,"21,6457386","17,5759677"
253,"21,6442947","17,5755615"
254,"21,6420364","17,57485"
255,"21,6392097","17,5735969"
256,"21,6246109","17,5727252"
257,"21,608324","17,5712242"
258,"21,606924","17,5698318"
259,"21,5988769","17,5692062"
260,"21,5791492","17,5676059"
261,"21,5699119","17,5668964"
262,"21,548273","17,5659694"
263,"21,5555686","17,5651626"
264,"21,5268192","17,5640544"
265,"21,5098323","17,5637035"
266,"21,4928874","17,5618209"
267,"21,4753932","17,5607013"
268,"21,4593906","17,5601062"
269,"21,448801","17,5595417"
270,"21,4319915","17,5584602"
271,"21,4337844","17,557249"
272,"21,4235916","17,5564975"
273,"21,4188976","17,5560798"
274,"21,4263782","17,5553359"
275,"21,4357452","17,5546188"
276,"21,4481449","17,5539798"
277,"21,4531707","17,5530414"
278,"21,4651489","17,5521183"
279,"21,4800415","17,5515537"
280,"21,4791774","17,5511531"
281,"21,4663124","17,5505447"
282,"21,471239","17,5497035"
283,"21,472393","17,5486736"
284,"21,4944458","17,5481929"
285,"21,4997291","17,5472812"
286,"21,4869136","17,5468006"
287,"21,4776325","17,546482"
288,"21,5130329","17,5460243"
289,"21,5296306","17,5454101"
290,"21,5441722","17,5449867"
291,"21,5358734","17,5436496"
292,"21,5281543","17,5433635"
293,"21,5217456","17,5429782"
294,"21,5044918","17,5425357"
295,"21,4624958","17,5417919"
296,"21,4314365","17,541109"
297,"21,426979","17,5403194"
298,"21,424942","17,5404567"
299,"21,4152183","17,5400466"
300,"21,418518","17,5394592"
301,"21,4047584","17,5393333"
302,"21,4156551","17,538681"
303,"21,4197769","17,5372562"
304,"21,4214057","17,5374298"
305,"21,4329586","17,5377597"
306,"21,4224834","17,5370006"
307,"21,4079093","17,5364475"
308,"21,4207725","17,5363101"
309,"21,4261398","17,5357875"
310,"21,441183","17,5356807"
311,"21,4737377","17,5354061"
312,"21,4819774","17,5346775"
313,"21,4758262","17,5345153"
314,"21,4784088","17,5348415"
315,"21,4615783","17,5342197"
316,"21,4525337","17,5336856"
317,"21,4679317","17,5331954"
318,"21,4610671","17,5328865"
319,"21,4722213","17,5321922"
320,"21,4926757","17,5317974"
321,"21,5223884","17,5327739"
322,"21,5468273","17,5319766"
323,"21,5893173","17,5309848"
324,"21,6162796","17,5308589"
325,"21,6396217","17,5304374"
326,"21,641077","17,5305042"
327,"21,6156749","17,5307083"
328,"21,5907592","17,530302"
329,"21,5512924","17,530117"
330,"21,5151081","17,5298976"
331,"21,5006656","17,5294761"
332,"21,4984188","17,529129"
333,"21,4966335","17,5293598"
334,"21,4988498","17,5290355"
335,"21,4842338","17,529272"
336,"21,473793","17,5285701"
337,"21,4712066","17,5281124"
338,"21,4951877","17,5278701"
339,"21,5180282","17,5282287"
340,"21,5620307","17,527729"
