t,U
-26,12
-25,16
-24.2,26
-24,52
-23.8,82
-23.6,102
-23.4,116
-23.2,122
-22.8,130
-22.4,126
-22,126
-21,116
-20,106
-19,96
-18,90
-17,86
-16,80
-15,76
-14,72
-13,70
-12,66
-11,66
-10,62
-9,60
-8,60
-7,56
-6,56
-5,56
-4,52
-3,52
-2,52
-1,52
0,50
1,50
2,46
3,46
4,46
5,46
6,42
7,42
8,42
9,42
10,40
11,42
12,40
13,40
14,40
15,36
16,40
17,40
18,36
19,36
20,36
21,36
22,36
23,36
24,32
25,36
26,32
27,32
28,32
29,32
30,32
31,32
32,32
33,30
34,32
35,32
36,30
37,30
38,30
39,30
40,30
41,30
42,30
43,32
44,30
45,30
46,30
47,30
48,30
49,30
50,30
51,30
52,30
53,26
54,26
55,30
56,30
57,26
58,26
59,30
60,26
61,26
62,22
63,26
64,26
65,22
66,26
67,26
68,22
69,26
70,26
71,22
72,22
73,26
74,26
75,26
76,26
77,22
