t,V
0,12.978
0.973,12.9666
1.911,12.9554
2.885,12.9463
3.884,12.9348
4.885,12.9239
5.885,12.9129
6.885,12.9024
7.885,12.892
8.885,12.8819
9.884,12.8714
10.884,12.8606
11.885,12.8511
12.885,12.8395
13.884,12.8314
14.885,12.8197
15.885,12.8105
16.885,12.8009
17.884,12.793
18.884,12.7824
19.885,12.7729
20.885,12.7631
21.885,12.753
22.884,12.7446
23.885,12.7352
24.884,12.7264
25.885,12.7161
26.884,12.7076
27.885,12.6986
28.884,12.6895
29.885,12.6808
30.885,12.6722
31.885,12.6624
32.884,12.6545
33.885,12.6452
34.885,12.6363
35.885,12.6272
36.884,12.6189
37.885,12.6098
38.885,12.6014
39.885,12.5932
40.885,12.5841
41.884,12.5767
42.884,12.5679
43.885,12.5593
44.885,12.5515
45.885,12.5422
46.884,12.5335
47.885,12.5248
48.884,12.5165
49.885,12.5075
50.885,12.4995
51.885,12.4908
52.885,12.4818
53.885,12.4729
54.884,12.4633
55.884,12.4547
56.885,12.4462
57.885,12.4374
58.884,12.4282
59.885,12.4197
60.885,12.4113
61.885,12.402
62.884,12.3932
63.884,12.3861
64.884,12.3768
65.885,12.3693
66.885,12.3613
67.885,12.3514
68.884,12.343
69.884,12.3351
70.885,12.3262
71.885,12.3185
72.884,12.3098
73.884,12.3012
74.885,12.2941
75.884,12.2853
76.884,12.2773
77.884,12.2691
78.885,12.2618
79.884,12.2531
80.885,12.245
81.885,12.2374
82.884,12.229
83.884,12.2208
84.885,12.2144
85.885,12.2049
86.884,12.196
87.884,12.1892
88.885,12.181
89.885,12.1731
90.885,12.1639
91.884,12.1568
92.884,12.1483
93.885,12.1402
94.884,12.1316
95.884,12.1233
96.885,12.1156
97.885,12.1068
98.884,12.1002
99.884,12.0904
100.885,12.0833
101.884,12.0744
102.885,12.0663
103.885,12.0585
104.884,12.0514
105.885,12.0428
106.884,12.0347
107.885,12.0271
108.885,12.0191
109.884,12.011
110.885,12.0029
111.884,11.9961
112.885,11.988
113.884,11.9805
114.885,11.972
