t,V
0,8.8641
1.032,8.8558
2.032,8.8454
3.031,8.834
4.031,8.8228
5.032,8.8118
6.032,8.7996
7.031,8.7888
8.032,8.7764
9.032,8.7639
10.032,8.752
11.031,8.7401
12.032,8.7286
13.032,8.7161
14.031,8.7055
15.032,8.6933
16.032,8.6813
17.031,8.6693
18.031,8.658
19.032,8.6456
20.032,8.6344
21.032,8.6212
22.031,8.6102
23.032,8.5988
24.032,8.5858
25.031,8.5756
26.032,8.5632
27.032,8.5522
28.032,8.541
29.032,8.5296
30.032,8.5177
31.032,8.5074
32.032,8.4965
33.031,8.4849
34.031,8.4746
35.032,8.4632
36.032,8.452
37.032,8.4404
38.032,8.4291
39.032,8.4187
40.031,8.4074
41.032,8.396
42.032,8.3854
43.032,8.3744
44.032,8.3638
45.031,8.3514
46.032,8.3415
47.032,8.3304
48.032,8.3193
49.032,8.3094
50.031,8.298
51.031,8.2865
52.032,8.2763
53.032,8.2664
54.032,8.2548
55.032,8.2439
56.032,8.2332
57.032,8.2233
58.031,8.2128
59.032,8.2015
60.032,8.1902
61.031,8.1798
62.032,8.1691
63.031,8.1588
64.031,8.1485
65.032,8.1373
66.032,8.1269
67.032,8.1165
68.032,8.1059
69.031,8.0956
70.032,8.0853
71.031,8.0748
72.032,8.065
73.032,8.0549
74.031,8.0436
75.032,8.0323
76.032,8.0229
77.031,8.0123
78.032,8.002
79.032,7.9924
80.031,7.9824
81.032,7.9723
82.032,7.9625
83.032,7.9524
84.032,7.9432
85.031,7.9326
86.032,7.9231
87.032,7.9147
88.031,7.9045
89.032,7.895
90.031,7.8856
91.032,7.8759
92.032,7.8673
93.032,7.8565
94.032,7.8477
95.031,7.8378
96.032,7.8296
97.031,7.8201
98.032,7.8112
99.031,7.8015
100.032,7.793
101.032,7.7836
102.032,7.7746
103.032,7.767
104.032,7.7571
105.032,7.7486
106.032,7.7395
107.032,7.7312
108.031,7.7208
109.032,7.7124
110.031,7.7039
111.032,7.6951
112.031,7.6856
113.032,7.6774
114.032,7.6689
115.032,7.6601
116.032,7.6508
117.032,7.6429
118.031,7.634
119.032,7.6256
120.031,7.6166
121.032,7.6083
122.032,7.6008
123.032,7.592
124.032,7.5828
125.032,7.5738
126.032,7.566
127.032,7.5576
128.032,7.5479
129.031,7.5398
130.032,7.5299
131.031,7.5218
132.032,7.5131
133.031,7.5051
134.032,7.4959
135.032,7.4876
136.032,7.4785
137.032,7.4709
138.032,7.4623
139.032,7.4533
140.031,7.4461
141.032,7.4372
142.031,7.4296
143.032,7.4215
144.032,7.414
145.032,7.4061
146.032,7.3987
147.031,7.3913
148.032,7.3844
149.031,7.3773
150.032,7.3707
151.032,7.3634
152.032,7.3565
153.031,7.3496
154.032,7.3418
155.031,7.3349
156.032,7.3276
157.031,7.3205
158.032,7.3137
159.031,7.3054
160.032,7.2985
161.032,7.2911
162.032,7.284
163.032,7.2758
164.032,7.2683
165.032,7.2607
166.032,7.2525
167.032,7.2451
168.033,7.2364
169.032,7.229
170.032,7.2221
171.031,7.215
172.032,7.2077
173.032,7.1996
174.032,7.193
175.032,7.185
176.032,7.1788
177.032,7.1713
178.032,7.1642
179.032,7.157
180.031,7.1507
181.032,7.1426
182.032,7.135
183.031,7.1285
184.032,7.1218
185.031,7.1144
186.032,7.1067
187.032,7.1009
188.031,7.0936
189.032,7.0877
190.031,7.0808
191.032,7.0752
192.032,7.0684
193.031,7.062
194.032,7.0553
195.031,7.0491
196.032,7.0433
197.032,7.0363
198.031,7.0292
199.032,7.0235
200.031,7.0174
201.032,7.0107
202.031,7.0042
203.032,6.999
204.032,6.9929
205.032,6.9868
206.032,6.9801
207.032,6.9739
208.032,6.9663
209.032,6.9596
210.032,6.9536
211.031,6.947
212.032,6.94
213.032,6.9326
214.032,6.9266
215.032,6.9204
216.031,6.914
217.032,6.9077
218.031,6.9023
219.032,6.8952
220.031,6.8897
221.032,6.8826
222.031,6.8759
223.032,6.8697
224.031,6.8644
225.032,6.8572
226.032,6.8512
227.031,6.8463
228.031,6.8406
229.032,6.8338
230.031,6.8285
231.031,6.8232
232.031,6.8177
233.032,6.8115
234.031,6.8059
235.032,6.8012
236.031,6.7942
237.032,6.7896
238.031,6.7846
239.031,6.7781
240.031,6.7733
241.031,6.7676
242.031,6.7625
243.031,6.7568
244.031,6.7522
245.031,6.7463
246.031,6.7404
247.031,6.7355
248.031,6.7298
249.032,6.7252
250.031,6.7196
251.031,6.7139
252.031,6.7091
253.031,6.7039
254.031,6.6982
255.031,6.6934
256.031,6.6878
257.031,6.6824
258.031,6.678
259.031,6.6724
260.031,6.6679
261.031,6.6618
262.031,6.6568
263.031,6.651
264.031,6.6458
265.031,6.6408
266.031,6.637
