p,t
5e-5,0
5.1e-5,0.4
5.2e-5,0.9
5.3e-5,1.4
5.5e-5, 1.9
5.7e-5,2.4
6.0e-5,2.9
6.3e-5,3.4
6.6e-5,3.78
7.0e-5,4.15
7.3e-5,4.65
7.7e-5,5.4
8.1e-5,5.9
8.5e-5,6.4
8.8e-5,6.9
9.2e-5,7.4
9.6e-5,7.9
9.9e-5,8.4
1.0e-4,8.9
1.1e-4,9.4
1.2e-4,10.969
1.3e-4,12.652
1.4e-4,13.902
1.5e-4,15.652
1.6e-4,16.902
1.7e-4,18.402
1.8e-4,20.152
1.9e-4,21.402
2.0e-4,22.902
2.1e-4,24.402
2.2e-4,25.902
2.3e-4,27.402
2.4e-4,29.404
2.5e-4,30.904
2.6e-4,32.904
2.7e-4,34.904
2.8e-4,36.654
2.9e-4,37.888
3.0e-4,40.154
3.1e-4,42.153
3.2e-4,43.654
3.3e-4,45.654
3.4e-4,47.153
3.5e-4,49.154
3.6e-4,50.653
3.7e-4,52.654
3.8e-4,54.153
3.9e-4,55.654
4.0e-4,57.154
4.1e-4,59.654
4.2e-4,62.654
4.3e-4,64.654
4.4e-4,66.154
4.5e-4,68.154
4.6e-4,69.654
4.7e-4,71.154
4.8e-4,73.154
4.9e-4,75.154
5.0e-4,77.654
5.1e-4,79.154
5.2e-4,81.154
5.3e-4,83.154
5.4e-4,85.654
5.5e-4,87.154
5.6e-4,88.654
5.7e-4,90.154
5.8e-4,91.154
5.9e-4,93.154
6.0e-4,95.154
6.1e-4,97.154
6.0e-4,99.154
5.9e-4,99.654
5.8e-4,100.154
5.5e-4,100.654
5.2e-4,100.910
4.9e-4,101.410
4.5e-4,101.910
4.2e-4,102.410
3.8e-4,103.160
3.5e-4,103.660
3.1e-4,104.160
2.8e-4,104.660
2.6e-4,105.160
2.4e-4,105.660
2.2e-4,106.160
2.0e-4,106.660
1.8e-4,107.160
1.7e-4,107.660
1.6e-4,108.160
1.5e-4,108.660
1.4e-4,109.160
1.3e-4,109.660
1.2e-4,110.160
1.1e-4,110.660
1.0e-4,111.160
9.8e-5,111.660
9.3e-5,112.160
8.8e-5,112.660
8.4e-5,113.160
8.0e-5,113.660
7.6e-5,114.160
7.3e-5,114.660
7.1e-5,115.160
6.8e-5,115.660
6.6e-5,116.160
6.4e-5,116.660
6.2e-5,117.160
6.1e-5,117.660
5.9e-5,118.160
5.8e-5,118.660
5.7e-5,119.160
5.6e-5,119.660
5.5e-5,120.160
5.4e-5,120.660
5.3e-5,121.660
5.2e-5,122.662
5.1e-5,123.662
5.0e-5,125.162
