Частота,Канал A
(kГц),(В)

0.00000000,1.67201500
0.02384186,1.15181000
0.04768372,0.77914240
0.07152557,0.24274030
0.09536743,0.02274363
0.11920929,0.00062065
0.14305115,0.00044248
0.16689301,0.00041339
0.19073486,0.00007601
0.21457672,0.00076396
0.23841858,0.00082459
0.26226044,0.00072212
0.28610229,0.00027374
0.30994415,0.00018614
0.33378601,0.00052600
0.35762787,0.00031675
0.38146973,0.00032548
0.40531158,0.00049594
0.42915344,0.00056464
0.45299530,0.00034287
0.47683716,0.00046154
0.50067902,0.00141641
0.52452087,0.00138663
0.54836273,0.00361903
0.57220459,0.01400651
0.59604645,0.02063690
0.61988831,0.02250694
0.64373016,0.02269758
0.66757202,0.01524477
0.69141388,0.00572610
0.71525574,0.00218964
0.73909760,0.00097538
0.76293945,0.00023316
0.78678131,0.00059716
0.81062317,0.00053420
0.83446503,0.00031145
0.85830688,0.00042973
0.88214874,0.00069674
0.90599060,0.00075860
0.92983246,0.00058357
0.95367432,0.00026102
0.97751617,0.00039304
1.00135803,0.00065070
1.02519989,0.00074693
1.04904175,0.00066902
1.07288361,0.00082446
1.09672546,0.00074903
1.12056732,0.00027879
1.14440918,0.00074565
1.16825104,0.00141980
1.19209290,0.00168851
1.21593475,0.00151564
1.23977661,0.00163053
1.26361847,0.00257213
1.28746033,0.00274599
1.31130219,0.00213698
1.33514404,0.00101037
1.35898590,0.00029055
1.38282776,0.00111208
1.40666962,0.00086115
1.43051147,0.00030517
1.45435333,0.00029013
1.47819519,0.00024283
1.50203705,0.00019767
1.52587891,0.00023592
1.54972076,0.00030362
1.57356262,0.00028099
1.59740448,0.00022056
1.62124634,0.00038733
1.64508820,0.00062107
1.66893005,0.00062069
1.69277191,0.00039465
1.71661377,0.00056874
1.74045563,0.00120766
1.76429749,0.00106854
1.78813934,0.00120032
1.81198120,0.00466087
1.83582306,0.00681295
1.85966492,0.00859670
1.88350677,0.00939600
1.90734863,0.00670974
1.93119049,0.00418750
1.95503235,0.00314734
1.97887421,0.00163941
2.00271606,0.00029859
2.02655792,0.00041966
2.05039978,0.00051734
2.07424164,0.00037450
2.09808350,0.00023362
2.12192535,0.00055169
2.14576721,0.00052813
2.16960907,0.00023768
2.19345093,0.00028768
2.21729279,0.00060852
2.24113464,0.00058509
2.26497650,0.00020503
2.28881836,0.00048551
2.31266022,0.00075097
2.33650208,0.00063746
2.36034393,0.00035312
2.38418579,0.00074261
2.40802765,0.00123240
2.43186951,0.00123698
2.45571136,0.00122694
2.47955322,0.00248041
2.50339508,0.00395554
2.52723694,0.00389679
2.55107880,0.00306009
2.57492065,0.00152943
2.59876251,0.00037450
2.62260437,0.00111672
2.64644623,0.00063027
2.67028809,0.00035289
2.69412994,0.00057896
2.71797180,0.00036475
2.74181366,0.00030798
2.76565552,0.00060379
2.78949738,0.00070522
2.81333923,0.00060627
2.83718109,0.00030643
2.86102295,0.00011558
2.88486481,0.00041657
2.90870667,0.00051064
2.93254852,0.00034387
2.95639038,0.00050903
2.98023224,0.00108444
3.00407410,0.00085923
3.02791595,0.00084857
3.05175781,0.00293558
3.07559967,0.00479373
3.09944153,0.00749054
3.12328339,0.00867577
3.14712524,0.00708068
3.17096710,0.00582421
3.19480896,0.00430480
3.21865082,0.00176188
3.24249268,0.00020331
3.26633453,0.00028621
3.29017639,0.00016114
3.31401825,0.00012622
3.33786011,0.00039897
3.36170197,0.00052751
3.38554382,0.00042577
3.40938568,0.00059082
3.43322754,0.00090593
3.45706940,0.00091346
3.48091125,0.00052590
3.50475311,0.00016083
3.52859497,0.00081119
3.55243683,0.00101511
3.57627869,0.00063361
3.60012054,0.00012240
3.62396240,0.00080019
3.64780426,0.00133773
3.67164612,0.00134385
3.69548798,0.00227495
3.71932983,0.00539530
3.74317169,0.00765420
3.76701355,0.00738830
3.79085541,0.00625629
3.81469727,0.00322617
3.83853912,0.00011426
3.86238098,0.00119010
3.88622284,0.00066454
3.91006470,0.00039484
3.93390656,0.00060044
3.95774841,0.00021046
3.98159027,0.00028085
4.00543213,0.00070333
4.02927399,0.00081780
4.05311584,0.00079460
4.07695770,0.00054924
4.10079956,0.00052792
4.12464142,0.00059201
4.14848328,0.00068580
4.17232513,0.00044232
4.19616699,0.00059091
4.22000885,0.00080039
4.24385071,0.00031507
4.26769257,0.00103916
4.29153442,0.00261797
4.31537628,0.00666260
4.33921814,0.01402911
4.36306000,0.01723546
4.38690186,0.01628656
4.41074371,0.01495608
4.43458557,0.00934916
4.45842743,0.00240203
4.48226929,0.00048020
4.50611115,0.00060416
4.52995300,0.00043630
4.55379486,0.00017707
4.57763672,0.00042110
4.60147858,0.00025885
4.62532043,0.00054961
4.64916229,0.00062514
4.67300415,0.00070381
4.69684601,0.00064398
4.72068787,0.00027989
4.74452972,0.00026697
4.76837158,0.00097680
4.79221344,0.00056885
4.81605530,0.00071475
4.83989716,0.00055214
4.86373901,0.00037827
4.88758087,0.00207776
4.91142273,0.05246967
4.93526459,0.38646210
4.95910645,0.96372380
4.98294830,1.23175800
5.00679016,1.24216300
5.03063202,1.13576100
5.05447388,0.63961020
5.07831573,0.14601770
5.10215759,0.00616836
5.12599945,0.00101824
5.14984131,0.00051509
5.17368317,0.00007994
5.19752502,0.00013466
5.22136688,0.00080215
5.24520874,0.00076529
5.26905060,0.00091716
5.29289246,0.00045783
5.31673431,0.00028124
5.34057617,0.00038555
5.36441803,0.00034579
5.38825989,0.00028566
5.41210175,0.00021241
5.43594360,0.00059241
5.45978546,0.00069495
5.48362732,0.00017239
5.50746918,0.00108481
5.53131104,0.00095882
5.55515289,0.00378738
5.57899475,0.01112324
5.60283661,0.01470991
5.62667847,0.01566157
5.65052032,0.01395863
5.67436218,0.00714327
5.69820404,0.00179412
5.72204590,0.00086123
5.74588776,0.00076232
5.76972961,0.00033569
5.79357147,0.00028339
5.81741333,0.00080239
5.84125519,0.00099200
5.86509705,0.00069732
5.88893890,0.00020461
5.91278076,0.00016197
5.93662262,0.00029332
5.96046448,0.00020740
5.98430634,0.00015877
6.00814819,0.00036028
6.03199005,0.00019799
6.05583191,0.00015996
6.07967377,0.00058333
6.10351563,0.00093866
6.12735748,0.00102775
6.15119934,0.00024417
6.17504120,0.00319020
6.19888306,0.00684031
6.22272491,0.00826924
6.24656677,0.00978317
6.27040863,0.00994311
6.29425049,0.00643055
6.31809235,0.00321152
6.34193420,0.00151968
6.36577606,0.00037219
6.38961792,0.00128488
6.41345978,0.00105053
6.43730164,0.00051764
6.46114349,0.00081226
6.48498535,0.00106477
6.50882721,0.00090682
6.53266907,0.00062046
6.55651093,0.00048551
6.58035278,0.00064376
6.60419464,0.00065244
6.62803650,0.00037570
6.65187836,0.00056410
6.67572021,0.00094339
6.69956207,0.00075057
6.72340393,0.00038348
6.74724579,0.00125295
6.77108765,0.00132687
6.79492950,0.00055946
6.81877136,0.00296582
6.84261322,0.00426331
6.86645508,0.00485004
6.89029694,0.00391091
6.91413879,0.00176322
6.93798065,0.00084846
6.96182251,0.00097043
6.98566437,0.00075596
7.00950623,0.00014366
7.03334808,0.00058504
7.05718994,0.00092749
7.08103180,0.00077127
7.10487366,0.00031611
7.12871552,0.00053843
7.15255737,0.00085141
7.17639923,0.00063567
7.20024109,0.00029957
7.22408295,0.00048946
7.24792480,0.00079579
7.27176666,0.00057016
7.29560852,0.00027427
7.31945038,0.00053881
7.34329224,0.00063433
7.36713409,0.00051041
7.39097595,0.00041098
7.41481781,0.00218133
7.43865967,0.00373071
7.46250153,0.00478184
7.48634338,0.00716693
7.51018524,0.00789575
7.53402710,0.00613303
7.55786896,0.00448169
7.58171082,0.00248322
7.60555267,0.00006534
7.62939453,0.00079161
7.65323639,0.00046333
7.67707825,0.00040495
7.70092010,0.00071754
7.72476196,0.00071664
7.74860382,0.00035097
7.77244568,0.00009618
7.79628754,0.00039181
7.82012939,0.00043570
7.84397125,0.00027290
7.86781311,0.00019165
7.89165497,0.00053602
7.91549683,0.00081329
7.93933868,0.00049369
7.96318054,0.00025613
7.98702240,0.00090157
8.01086426,0.00074083
8.03470612,0.00046643
8.05854797,0.00181358
8.08238983,0.00252513
8.10623169,0.00271781
8.13007355,0.00181278
8.15391541,0.00083571
8.17775726,0.00095064
8.20159912,0.00119774
8.22544098,0.00084112
8.24928284,0.00037727
8.27312469,0.00057647
8.29696655,0.00077379
8.32080841,0.00048197
8.34465027,0.00020816
8.36849213,0.00064400
8.39233398,0.00084154
8.41617584,0.00063947
8.44001770,0.00028749
8.46385956,0.00035020
8.48770142,0.00049771
8.51154327,0.00043167
8.53538513,0.00017538
8.55922699,0.00051035
8.58306885,0.00072047
8.60691071,0.00051180
8.63075256,0.00040867
8.65459442,0.00187320
8.67843628,0.00315080
8.70227814,0.00617266
8.72612000,0.01107770
8.74996185,0.01232119
8.77380371,0.01063953
8.79764557,0.00858368
8.82148743,0.00405382
8.84532928,0.00024679
8.86917114,0.00102807
8.89301300,0.00030853
8.91685486,0.00063453
8.94069672,0.00095778
8.96453857,0.00085767
8.98838043,0.00057005
9.01222229,0.00035842
9.03606415,0.00050734
9.05990601,0.00055419
9.08374786,0.00038155
9.10758972,0.00041644
9.13143158,0.00068734
9.15527344,0.00061321
9.17911530,0.00017645
9.20295715,0.00063264
9.22679901,0.00122266
9.25064087,0.00098080
9.27448273,0.00009522
9.29832458,0.00113389
9.32216644,0.00191298
9.34600830,0.00203166
9.36985016,0.00137746
9.39369202,0.00113179
9.41753387,0.00169677
9.44137573,0.00179452
9.46521759,0.00127919
9.48905945,0.00044692
9.51290131,0.00051953
9.53674316,0.00086782
9.56058502,0.00061723
9.58442688,0.00032933
9.60826874,0.00059735
9.63211060,0.00043421
9.65595245,0.00015750
9.67979431,0.00043079
9.70363617,0.00075741
9.72747803,0.00049898
9.75131989,0.00040781
9.77516174,0.00041464
9.79900360,0.00044913
9.82284546,0.00102419
9.84668732,0.00025160
9.87052917,0.00020611
9.89437103,0.00433816
9.91821289,0.07588322
9.94205475,0.38761780
9.96589661,0.76916480
9.98973846,0.87894480
10.01358032,0.87580290
10.03742218,0.73203920
10.06126404,0.33391970
10.08510590,0.05393559
10.10894775,0.00052026
10.13278961,0.00061731
10.15663147,0.00077216
10.18047333,0.00049051
10.20431519,0.00079035
10.22815704,0.00017891
10.25199890,0.00036028
10.27584076,0.00040841
10.29968262,0.00031131
10.32352448,0.00014505
10.34736633,0.00039611
10.37120819,0.00072483
10.39505005,0.00082841
10.41889191,0.00046688
10.44273376,0.00026279
10.46657562,0.00064786
10.49041748,0.00043915
10.51425934,0.00039962
10.53810120,0.00102444
10.56194305,0.00131354
10.58578491,0.00111673
10.60962677,0.00061299
10.63346863,0.00093768
10.65731049,0.00172591
10.68115234,0.00176992
10.70499420,0.00121133
10.72883606,0.00054597
10.75267792,0.00101789
10.77651978,0.00125032
10.80036163,0.00064330
10.82420349,0.00041177
10.84804535,0.00070136
10.87188721,0.00057930
10.89572906,0.00023264
10.91957092,0.00024851
10.94341278,0.00037376
10.96725464,0.00035504
10.99109650,0.00021992
11.01493835,0.00036721
11.03878021,0.00054124
11.06262207,0.00052114
11.08646393,0.00041848
11.11030579,0.00102173
11.13414764,0.00152639
11.15798950,0.00053432
11.18183136,0.00490413
11.20567322,0.00934899
11.22951508,0.01122649
11.25335693,0.01256042
11.27719879,0.01046937
11.30104065,0.00529826
11.32488251,0.00267080
11.34872437,0.00157977
11.37256622,0.00027074
11.39640808,0.00060159
11.42024994,0.00088474
11.44409180,0.00081066
11.46793365,0.00055483
11.49177551,0.00024697
11.51561737,0.00020191
11.53945923,0.00027056
11.56330109,0.00020990
11.58714294,0.00030383
11.61098480,0.00055914
11.63482666,0.00065186
11.65866852,0.00056409
11.68251038,0.00068406
11.70635223,0.00079665
11.73019409,0.00053433
11.75403595,0.00043932
11.77787781,0.00086058
11.80171967,0.00110837
11.82556152,0.00089967
11.84940338,0.00102265
11.87324524,0.00216234
11.89708710,0.00295449
11.92092896,0.00261985
11.94477081,0.00162368
11.96861267,0.00016400
11.99245453,0.00088808
12.01629639,0.00080163
12.04013824,0.00016455
12.06398010,0.00072219
12.08782196,0.00084222
12.11166382,0.00053333
12.13550568,0.00016641
12.15934753,0.00006004
12.18318939,0.00003349
12.20703125,0.00027069
12.23087311,0.00051901
12.25471497,0.00065679
12.27855682,0.00066319
12.30239868,0.00058393
12.32624054,0.00016521
12.35008240,0.00055139
12.37392426,0.00085216
12.39776611,0.00032204
12.42160797,0.00256479
12.44544983,0.00442737
12.46929169,0.00602018
12.49313354,0.00775688
12.51697540,0.00670915
12.54081726,0.00452669
12.56465912,0.00345350
12.58850098,0.00192886
12.61234283,0.00060318
12.63618469,0.00079160
12.66002655,0.00081406
12.68386841,0.00045436
12.70771027,0.00008377
12.73155212,0.00025007
12.75539398,0.00030547
12.77923584,0.00013164
12.80307770,0.00030602
12.82691956,0.00056708
12.85076141,0.00063198
12.87460327,0.00043024
12.89844513,0.00023040
12.92228699,0.00050967
12.94612885,0.00039579
12.96997070,0.00013820
12.99381256,0.00085890
13.01765442,0.00139739
13.04149628,0.00146349
13.06533813,0.00120928
13.08917999,0.00218686
13.11302185,0.00426630
13.13686371,0.00488118
13.16070557,0.00418872
13.18454742,0.00279401
13.20838928,0.00055499
13.23223114,0.00108787
13.25607300,0.00094366
13.27991486,0.00035222
13.30375671,0.00077362
13.32759857,0.00068184
13.35144043,0.00029499
13.37528229,0.00009077
13.39912415,0.00029787
13.42296600,0.00037482
13.44680786,0.00011157
13.47064972,0.00020768
13.49449158,0.00044978
13.51833344,0.00054702
13.54217529,0.00045150
13.56601715,0.00015548
13.58985901,0.00080000
13.61370087,0.00090781
13.63754272,0.00031000
13.66138458,0.00207984
13.68522644,0.00382194
13.70906830,0.00703023
13.73291016,0.01007324
13.75675201,0.00928385
13.78059387,0.00783033
13.80443573,0.00614167
13.82827759,0.00244806
13.85211945,0.00041383
