Частота,Канал A
(kГц),(В)

0.00000000,0.27023810
0.02384186,0.18603500
0.04768372,0.12565090
0.07152557,0.03895846
0.09536743,0.00349120
0.11920929,0.00009157
0.14305115,0.00005806
0.16689301,0.00004321
0.19073486,0.00004562
0.21457672,0.00003895
0.23841858,0.00004057
0.26226044,0.00003946
0.28610229,0.00007734
0.30994415,0.00011841
0.33378601,0.00033822
0.35762787,0.00049850
0.38146973,0.00051293
0.40531158,0.00045310
0.42915344,0.00030928
0.45299530,0.00005750
0.47683716,0.00005518
0.50067902,0.00008579
0.52452087,0.00009274
0.54836273,0.00009462
0.57220459,0.00035482
0.59604645,0.00050900
0.61988831,0.00055586
0.64373016,0.00053878
0.66757202,0.00036310
0.69141388,0.00015768
0.71525574,0.00009950
0.73909760,0.00004212
0.76293945,0.00003502
0.78678131,0.00003082
0.81062317,0.00003518
0.83446503,0.00000985
0.85830688,0.00001155
0.88214874,0.00004410
0.90599060,0.00004794
0.92983246,0.00026088
0.95367432,0.00090238
0.97751617,0.00135750
1.00135803,0.00143597
1.02519989,0.00139300
1.04904175,0.00096681
1.07288361,0.00033658
1.09672546,0.00007782
1.12056732,0.00003941
1.14440918,0.00002699
1.16825104,0.00000366
1.19209290,0.00000795
1.21593475,0.00003305
1.23977661,0.00004755
1.26361847,0.00005602
1.28746033,0.00005281
1.31130219,0.00015709
1.33514404,0.00039751
1.35898590,0.00055626
1.38282776,0.00055771
1.40666962,0.00049705
1.43051147,0.00032631
1.45435333,0.00007974
1.47819519,0.00003523
1.50203705,0.00002309
1.52587891,0.00003365
1.54972076,0.00013083
1.57356262,0.00038581
1.59740448,0.00052744
1.62124634,0.00056225
1.64508820,0.00053357
1.66893005,0.00032948
1.69277191,0.00013942
1.71661377,0.00009600
1.74045563,0.00008036
1.76429749,0.00009790
1.78813934,0.00010221
1.81198120,0.00007068
1.83582306,0.00003566
1.85966492,0.00003688
1.88350677,0.00002197
1.90734863,0.00001897
1.93119049,0.00052383
1.95503235,0.00176198
1.97887421,0.00255524
2.00271606,0.00268171
2.02655792,0.00259851
2.05039978,0.00169975
2.07424164,0.00051989
2.09808350,0.00009938
2.12192535,0.00005457
2.14576721,0.00004759
2.16960907,0.00002482
2.19345093,0.00001243
2.21729279,0.00001121
2.24113464,0.00003651
2.26497650,0.00007287
2.28881836,0.00008331
2.31266022,0.00012697
2.33650208,0.00032404
2.36034393,0.00045577
2.38418579,0.00043907
2.40802765,0.00039000
2.43186951,0.00023710
2.45571136,0.00004947
2.47955322,0.00004025
2.50339508,0.00005221
2.52723694,0.00007093
2.55107880,0.00009561
2.57492065,0.00034516
2.59876251,0.00047103
2.62260437,0.00050024
2.64644623,0.00048854
2.67028809,0.00030711
2.69412994,0.00016253
2.71797180,0.00013445
2.74181366,0.00011932
2.76565552,0.00011965
2.78949738,0.00010069
2.81333923,0.00003856
2.83718109,0.00003874
2.86102295,0.00007729
2.88486481,0.00009095
2.90870667,0.00009005
2.93254852,0.00096066
2.95639038,0.00283158
2.98023224,0.00390699
3.00407410,0.00402420
3.02791595,0.00382683
3.05175781,0.00237820
3.07559967,0.00066057
3.09944153,0.00007139
3.12328339,0.00001291
3.14712524,0.00001894
3.17096710,0.00002792
3.19480896,0.00005121
3.21865082,0.00007438
3.24249268,0.00009617
3.26633453,0.00009513
3.29017639,0.00005820
3.31401825,0.00009304
3.33786011,0.00029489
3.36170197,0.00041810
3.38554382,0.00039711
3.40938568,0.00035020
3.43322754,0.00020635
3.45706940,0.00002324
3.48091125,0.00006674
3.50475311,0.00010663
3.52859497,0.00011497
3.55243683,0.00014429
3.57627869,0.00037112
3.60012054,0.00048798
3.62396240,0.00050995
3.64780426,0.00046415
3.67164612,0.00026823
3.69548798,0.00011802
3.71932983,0.00010881
3.74317169,0.00011268
3.76701355,0.00012693
3.79085541,0.00013167
3.81469727,0.00010118
3.83853912,0.00008497
3.86238098,0.00007735
3.88622284,0.00004348
3.91006470,0.00014000
3.93390656,0.00138103
3.95774841,0.00378312
3.98159027,0.00505231
4.00543213,0.00517142
4.02927399,0.00486356
4.05311584,0.00291842
4.07695770,0.00077222
4.10079956,0.00008560
4.12464142,0.00001432
4.14848328,0.00001649
4.17232513,0.00001720
4.19616699,0.00003819
4.22000885,0.00006016
4.24385071,0.00007626
4.26769257,0.00007187
4.29153442,0.00001055
4.31537628,0.00011677
4.33921814,0.00028997
4.36306000,0.00038567
4.38690186,0.00037703
4.41074371,0.00034120
4.43458557,0.00023569
4.45842743,0.00009650
4.48226929,0.00001372
4.50611115,0.00007417
4.52995300,0.00009831
4.55379486,0.00010430
4.57763672,0.00030832
4.60147858,0.00041826
4.62532043,0.00045893
4.64916229,0.00043765
4.67300415,0.00028309
4.69684601,0.00018872
4.72068787,0.00020092
4.74452972,0.00021149
4.76837158,0.00020092
4.79221344,0.00015497
4.81605530,0.00006924
4.83989716,0.00003071
4.86373901,0.00004327
4.88758087,0.00002892
4.91142273,0.00017159
4.93526459,0.00180333
4.95910645,0.00471344
4.98294830,0.00611312
5.00679016,0.00622675
5.03063202,0.00575297
5.05447388,0.00328369
5.07831573,0.00076477
5.10215759,0.00002664
5.12599945,0.00003859
5.14984131,0.00004841
5.17368317,0.00002836
5.19752502,0.00002795
5.22136688,0.00005386
5.24520874,0.00008836
5.26905060,0.00011082
5.29289246,0.00008588
5.31673431,0.00008512
5.34057617,0.00020037
5.36441803,0.00027904
5.38825989,0.00026371
5.41210175,0.00022601
5.43594360,0.00013330
5.45978546,0.00000853
5.48362732,0.00006988
5.50746918,0.00011342
5.53131104,0.00010158
5.55515289,0.00010537
5.57899475,0.00030318
5.60283661,0.00040219
5.62667847,0.00042928
5.65052032,0.00038903
5.67436218,0.00023366
5.69820404,0.00013623
5.72204590,0.00013121
5.74588776,0.00014729
5.76972961,0.00015955
5.79357147,0.00013835
5.81741333,0.00006013
5.84125519,0.00003494
5.86509705,0.00006601
5.88893890,0.00006252
5.91278076,0.00030650
5.93662262,0.00231500
5.96046448,0.00562639
5.98430634,0.00707119
6.00814819,0.00714658
6.03199005,0.00649382
6.05583191,0.00356968
6.07967377,0.00078672
6.10351563,0.00002248
6.12735748,0.00007393
6.15119934,0.00008305
6.17504120,0.00006545
6.19888306,0.00010463
6.22272491,0.00015403
6.24656677,0.00017556
6.27040863,0.00015203
6.29425049,0.00006319
6.31809235,0.00004752
6.34193420,0.00015682
6.36577606,0.00021727
6.38961792,0.00021776
6.41345978,0.00020119
6.43730164,0.00013506
6.46114349,0.00003519
6.48498535,0.00006249
6.50882721,0.00013095
6.53266907,0.00013380
6.55651093,0.00010298
6.58035278,0.00023820
6.60419464,0.00032863
6.62803650,0.00036414
6.65187836,0.00032476
6.67572021,0.00019365
6.69956207,0.00015403
6.72340393,0.00017259
6.74724579,0.00018224
6.77108765,0.00017632
6.79492950,0.00014829
6.81877136,0.00009397
6.84261322,0.00008522
6.86645508,0.00006051
6.89029694,0.00004964
6.91413879,0.00040704
6.93798065,0.00275134
6.96182251,0.00636422
6.98566437,0.00782005
7.00950623,0.00789268
7.03334808,0.00703894
7.05718994,0.00369565
7.08103180,0.00075123
7.10487366,0.00001185
7.12871552,0.00008051
7.15255737,0.00009753
7.17639923,0.00006252
7.20024109,0.00004339
7.22408295,0.00010104
7.24792480,0.00014781
7.27176666,0.00014877
7.29560852,0.00006353
7.31945038,0.00005892
7.34329224,0.00017266
7.36713409,0.00023365
7.39097595,0.00022835
7.41481781,0.00019558
7.43865967,0.00011600
7.46250153,0.00002912
7.48634338,0.00007733
7.51018524,0.00010824
7.53402710,0.00007722
7.55786896,0.00006539
7.58171082,0.00020430
7.60555267,0.00028335
7.62939453,0.00033122
7.65323639,0.00031728
7.67707825,0.00023901
7.70092010,0.00019420
7.72476196,0.00018771
7.74860382,0.00019065
7.77244568,0.00019838
7.79628754,0.00017634
7.82012939,0.00009812
7.84397125,0.00002156
7.86781311,0.00000940
7.89165497,0.00002629
7.91549683,0.00052703
7.93933868,0.00321330
7.96318054,0.00701361
7.98702240,0.00837273
8.01086426,0.00840083
8.03470612,0.00733991
8.05854797,0.00366968
8.08238983,0.00065985
8.10623169,0.00008840
8.13007355,0.00014495
8.15391541,0.00012899
8.17775726,0.00006605
8.20159912,0.00008337
8.22544098,0.00015174
8.24928284,0.00017533
8.27312469,0.00014985
8.29696655,0.00007726
8.32080841,0.00008430
8.34465027,0.00015044
8.36849213,0.00018446
8.39233398,0.00016659
8.41617584,0.00013513
8.44001770,0.00006936
8.46385956,0.00002912
8.48770142,0.00008384
8.51154327,0.00010926
8.53538513,0.00008245
8.55922699,0.00009186
8.58306885,0.00018842
8.60691071,0.00023512
8.63075256,0.00024660
8.65459442,0.00020497
8.67843628,0.00013027
8.70227814,0.00011472
8.72612000,0.00012903
8.74996185,0.00013502
8.77380371,0.00014007
8.79764557,0.00012440
8.82148743,0.00007475
8.84532928,0.00006283
8.86917114,0.00005585
8.89301300,0.00005984
8.91685486,0.00061679
8.94069672,0.00355543
8.96453857,0.00746227
8.98838043,0.00874187
9.01222229,0.00876694
9.03606415,0.00750605
9.05990601,0.00358381
9.08374786,0.00058650
9.10758972,0.00008247
9.13143158,0.00013919
9.15527344,0.00011943
9.17911530,0.00005305
9.20295715,0.00010522
9.22679901,0.00018980
9.25064087,0.00024469
9.27448273,0.00021556
9.29832458,0.00010292
9.32216644,0.00002202
9.34600830,0.00013220
9.36985016,0.00020855
9.39369202,0.00020738
9.41753387,0.00016654
9.44137573,0.00007502
9.46521759,0.00004389
9.48905945,0.00009943
9.51290131,0.00011081
9.53674316,0.00008089
9.56058502,0.00003268
9.58442688,0.00009716
9.60826874,0.00015881
9.63211060,0.00020402
9.65595245,0.00022183
9.67979431,0.00019763
9.70363617,0.00016884
9.72747803,0.00015761
9.75131989,0.00014788
9.77516174,0.00014787
9.79900360,0.00014380
9.82284546,0.00010196
9.84668732,0.00009100
9.87052917,0.00010485
9.89437103,0.00012905
9.91821289,0.00077307
9.94205475,0.00388934
9.96589661,0.00774426
9.98973846,0.00886806
10.01358032,0.00886229
10.03742218,0.00743666
10.06126404,0.00339861
10.08510590,0.00052799
10.10894775,0.00009432
10.13278961,0.00014310
10.15663147,0.00012922
10.18047333,0.00004550
10.20431519,0.00006676
10.22815704,0.00013176
10.25199890,0.00016593
10.27584076,0.00013227
10.29968262,0.00005141
10.32352448,0.00009250
10.34736633,0.00018078
10.37120819,0.00022860
10.39505005,0.00023092
10.41889191,0.00018898
10.44273376,0.00008682
10.46657562,0.00005521
10.49041748,0.00008368
10.51425934,0.00008451
10.53810120,0.00006263
10.56194305,0.00008152
10.58578491,0.00012760
10.60962677,0.00016309
10.63346863,0.00017894
10.65731049,0.00018586
10.68115234,0.00016918
10.70499420,0.00015370
10.72883606,0.00017401
10.75267792,0.00018540
10.77651978,0.00018593
10.80036163,0.00015256
10.82420349,0.00009003
10.84804535,0.00007107
10.87188721,0.00008098
10.89572906,0.00010449
10.91957092,0.00083495
10.94341278,0.00407121
10.96725464,0.00780875
10.99109650,0.00879622
11.01493835,0.00877425
11.03878021,0.00719240
11.06262207,0.00311987
11.08646393,0.00039055
11.11030579,0.00016474
11.13414764,0.00019874
11.15798950,0.00017500
11.18183136,0.00010945
11.20567322,0.00012187
11.22951508,0.00016884
11.25335693,0.00020002
11.27719879,0.00016256
11.30104065,0.00006632
11.32488251,0.00009594
11.34872437,0.00022410
11.37256622,0.00030018
11.39640808,0.00031659
11.42024994,0.00027541
11.44409180,0.00014295
11.46793365,0.00006415
11.49177551,0.00008608
11.51561737,0.00007721
11.53945923,0.00004131
11.56330109,0.00004844
11.58714294,0.00008311
11.61098480,0.00011027
11.63482666,0.00013897
11.65866852,0.00015995
11.68251038,0.00013967
11.70635223,0.00011056
11.73019409,0.00011305
11.75403595,0.00010608
11.77787781,0.00009999
11.80171967,0.00010157
11.82556152,0.00010736
11.84940338,0.00011765
11.87324524,0.00012729
11.89708710,0.00015468
11.92092896,0.00091137
11.94477081,0.00414072
11.96861267,0.00763960
11.99245453,0.00847553
12.01629639,0.00843999
12.04013824,0.00675628
12.06398010,0.00280222
12.08782196,0.00033372
12.11166382,0.00011482
12.13550568,0.00014347
12.15934753,0.00011781
12.18318939,0.00005826
12.20703125,0.00012275
12.23087311,0.00017675
12.25471497,0.00020032
12.27855682,0.00015880
12.30239868,0.00005758
12.32624054,0.00009677
12.35008240,0.00023911
12.37392426,0.00031921
12.39776611,0.00034490
12.42160797,0.00029957
12.44544983,0.00015894
12.46929169,0.00008807
12.49313354,0.00008297
12.51697540,0.00006821
12.54081726,0.00006908
12.56465912,0.00013595
12.58850098,0.00022306
12.61234283,0.00026326
12.63618469,0.00028425
12.66002655,0.00026037
12.68386841,0.00019117
12.70771027,0.00015368
12.73155212,0.00016334
12.75539398,0.00017018
12.77923584,0.00015966
12.80307770,0.00012340
12.82691956,0.00010263
12.85076141,0.00012577
12.87460327,0.00013567
12.89844513,0.00016633
12.92228699,0.00100305
12.94612885,0.00414725
12.96997070,0.00731176
12.99381256,0.00799294
13.01765442,0.00795450
13.04149628,0.00623059
13.06533813,0.00248971
13.08917999,0.00028690
13.11302185,0.00015684
13.13686371,0.00018462
13.16070557,0.00016120
13.18454742,0.00009357
13.20838928,0.00007220
13.23223114,0.00009672
13.25607300,0.00011406
13.27991486,0.00008847
13.30375671,0.00005070
13.32759857,0.00016112
13.35144043,0.00032448
13.37528229,0.00039161
13.39912415,0.00040189
13.42296600,0.00032545
13.44680786,0.00013580
13.47064972,0.00005510
13.49449158,0.00009528
13.51833344,0.00008408
13.54217529,0.00006954
13.56601715,0.00013000
13.58985901,0.00019846
13.61370087,0.00021530
13.63754272,0.00024502
13.66138458,0.00022551
13.68522644,0.00015883
13.70906830,0.00015279
13.73291016,0.00015487
13.75675201,0.00012993
13.78059387,0.00011044
13.80443573,0.00010001
13.82827759,0.00010374
13.85211945,0.00011817
