Частота,Канал A
(kГц),(В)

0.00000000,0.27512840
0.02384186,0.18942270
0.04768372,0.12791070
0.07152557,0.03958837
0.09536743,0.00349609
0.11920929,0.00014452
0.14305115,0.00024205
0.16689301,0.00034299
0.19073486,0.00035568
0.21457672,0.00034599
0.23841858,0.00027126
0.26226044,0.00021651
0.28610229,0.00016532
0.30994415,0.00015609
0.33378601,0.00013143
0.35762787,0.00014443
0.38146973,0.00015819
0.40531158,0.00016517
0.42915344,0.00010524
0.45299530,0.00012322
0.47683716,0.00008024
0.50067902,0.00003374
0.52452087,0.00005785
0.54836273,0.00009886
0.57220459,0.00016270
0.59604645,0.00017387
0.61988831,0.00016501
0.64373016,0.00013951
0.66757202,0.00014696
0.69141388,0.00017295
0.71525574,0.00025181
0.73909760,0.00024893
0.76293945,0.00022567
0.78678131,0.00015418
0.81062317,0.00009538
0.83446503,0.00008866
0.85830688,0.00013446
0.88214874,0.00019417
0.90599060,0.00021166
0.92983246,0.00023183
0.95367432,0.00024473
0.97751617,0.00023657
1.00135803,0.00017169
1.02519989,0.00019098
1.04904175,0.00024513
1.07288361,0.00024430
1.09672546,0.00020929
1.12056732,0.00015528
1.14440918,0.00003498
1.16825104,0.00007618
1.19209290,0.00013879
1.21593475,0.00016001
1.23977661,0.00015440
1.26361847,0.00008290
1.28746033,0.00002457
1.31130219,0.00004102
1.33514404,0.00003316
1.35898590,0.00005543
1.38282776,0.00009687
1.40666962,0.00007299
1.43051147,0.00007753
1.45435333,0.00009613
1.47819519,0.00011671
1.50203705,0.00012790
1.52587891,0.00011039
1.54972076,0.00012262
1.57356262,0.00011788
1.59740448,0.00011114
1.62124634,0.00014820
1.64508820,0.00021881
1.66893005,0.00025087
1.69277191,0.00022593
1.71661377,0.00015371
1.74045563,0.00007083
1.76429749,0.00003165
1.78813934,0.00004457
1.81198120,0.00012038
1.83582306,0.00015483
1.85966492,0.00015914
1.88350677,0.00017476
1.90734863,0.00017252
1.93119049,0.00024683
1.95503235,0.00032758
1.97887421,0.00031092
2.00271606,0.00023028
2.02655792,0.00014452
2.05039978,0.00002922
2.07424164,0.00006688
2.09808350,0.00006030
2.12192535,0.00008872
2.14576721,0.00009033
2.16960907,0.00003870
2.19345093,0.00007308
2.21729279,0.00012451
2.24113464,0.00014738
2.26497650,0.00009645
2.28881836,0.00001865
2.31266022,0.00004678
2.33650208,0.00010741
2.36034393,0.00017371
2.38418579,0.00012727
2.40802765,0.00004662
2.43186951,0.00006947
2.45571136,0.00011024
2.47955322,0.00008097
2.50339508,0.00001577
2.52723694,0.00006411
2.55107880,0.00008004
2.57492065,0.00018475
2.59876251,0.00022913
2.62260437,0.00021557
2.64644623,0.00020915
2.67028809,0.00016908
2.69412994,0.00016038
2.71797180,0.00018974
2.74181366,0.00024191
2.76565552,0.00027971
2.78949738,0.00029489
2.81333923,0.00030786
2.83718109,0.00029411
2.86102295,0.00026212
2.88486481,0.00024680
2.90870667,0.00019034
2.93254852,0.00012796
2.95639038,0.00012639
2.98023224,0.00010336
3.00407410,0.00008614
3.02791595,0.00015399
3.05175781,0.00020651
3.07559967,0.00017215
3.09944153,0.00015160
3.12328339,0.00013687
3.14712524,0.00012296
3.17096710,0.00011637
3.19480896,0.00012635
3.21865082,0.00015741
3.24249268,0.00018303
3.26633453,0.00015016
3.29017639,0.00009352
3.31401825,0.00004068
3.33786011,0.00005452
3.36170197,0.00014268
3.38554382,0.00021246
3.40938568,0.00029654
3.43322754,0.00032500
3.45706940,0.00028882
3.48091125,0.00023531
3.50475311,0.00014931
3.52859497,0.00012318
3.55243683,0.00012869
3.57627869,0.00010847
3.60012054,0.00012435
3.62396240,0.00011081
3.64780426,0.00008822
3.67164612,0.00009425
3.69548798,0.00010353
3.71932983,0.00007437
3.74317169,0.00005761
3.76701355,0.00010437
3.79085541,0.00014836
3.81469727,0.00016323
3.83853912,0.00013122
3.86238098,0.00007732
3.88622284,0.00000746
3.91006470,0.00007914
3.93390656,0.00018614
3.95774841,0.00029974
3.98159027,0.00033365
4.00543213,0.00031395
4.02927399,0.00028017
4.05311584,0.00017728
4.07695770,0.00010617
4.10079956,0.00011632
4.12464142,0.00012242
4.14848328,0.00006919
4.17232513,0.00001445
4.19616699,0.00000928
4.22000885,0.00004986
4.24385071,0.00008090
4.26769257,0.00009812
4.29153442,0.00005885
4.31537628,0.00001519
4.33921814,0.00009535
4.36306000,0.00016915
4.38690186,0.00016797
4.41074371,0.00010502
4.43458557,0.00007689
4.45842743,0.00005447
4.48226929,0.00006393
4.50611115,0.00015187
4.52995300,0.00022455
4.55379486,0.00020951
4.57763672,0.00020711
4.60147858,0.00020560
4.62532043,0.00022017
4.64916229,0.00025541
4.67300415,0.00023653
4.69684601,0.00019334
4.72068787,0.00016342
4.74452972,0.00011876
4.76837158,0.00009209
4.79221344,0.00012956
4.81605530,0.00015326
4.83989716,0.00014191
4.86373901,0.00013119
4.88758087,0.00010208
4.91142273,0.00008191
4.93526459,0.00013955
4.95910645,0.00016552
4.98294830,0.00014613
5.00679016,0.00010724
5.03063202,0.00007411
5.05447388,0.00008862
5.07831573,0.00013021
5.10215759,0.00013414
5.12599945,0.00011769
5.14984131,0.00009765
5.17368317,0.00010986
5.19752502,0.00016175
5.22136688,0.00024449
5.24520874,0.00030479
5.26905060,0.00026443
5.29289246,0.00016798
5.31673431,0.00018893
5.34057617,0.00019924
5.36441803,0.00017898
5.38825989,0.00009689
5.41210175,0.00003475
5.43594360,0.00007291
5.45978546,0.00007739
5.48362732,0.00009057
5.50746918,0.00011466
5.53131104,0.00010754
5.55515289,0.00006163
5.57899475,0.00003496
5.60283661,0.00005932
5.62667847,0.00012457
5.65052032,0.00018667
5.67436218,0.00020671
5.69820404,0.00021478
5.72204590,0.00021388
5.74588776,0.00017765
5.76972961,0.00012697
5.79357147,0.00007480
5.81741333,0.00003980
5.84125519,0.00005206
5.86509705,0.00006822
5.88893890,0.00009064
5.91278076,0.00010445
5.93662262,0.00015075
5.96046448,0.00018694
5.98430634,0.00019008
6.00814819,0.00017099
6.03199005,0.00011104
6.05583191,0.00005287
6.07967377,0.00008213
6.10351563,0.00009123
6.12735748,0.00004933
6.15119934,0.00003412
6.17504120,0.00007636
6.19888306,0.00010902
6.22272491,0.00011230
6.24656677,0.00007845
6.27040863,0.00003776
6.29425049,0.00011661
6.31809235,0.00019934
6.34193420,0.00021984
6.36577606,0.00020080
6.38961792,0.00014702
6.41345978,0.00006265
6.43730164,0.00004266
6.46114349,0.00002526
6.48498535,0.00001798
6.50882721,0.00003241
6.53266907,0.00006358
6.55651093,0.00006250
6.58035278,0.00008129
6.60419464,0.00014210
6.62803650,0.00016847
6.65187836,0.00019382
6.67572021,0.00019856
6.69956207,0.00012976
6.72340393,0.00007593
6.74724579,0.00008601
6.77108765,0.00009670
6.79492950,0.00007067
6.81877136,0.00008546
6.84261322,0.00010764
6.86645508,0.00010232
6.89029694,0.00004229
6.91413879,0.00006552
6.93798065,0.00013517
6.96182251,0.00017616
6.98566437,0.00020536
7.00950623,0.00019616
7.03334808,0.00018916
7.05718994,0.00016418
7.08103180,0.00010043
7.10487366,0.00008477
7.12871552,0.00008631
7.15255737,0.00007959
7.17639923,0.00010677
7.20024109,0.00015735
7.22408295,0.00017163
7.24792480,0.00016684
7.27176666,0.00019171
7.29560852,0.00018375
7.31945038,0.00011944
7.34329224,0.00011128
7.36713409,0.00012319
7.39097595,0.00014098
7.41481781,0.00013178
7.43865967,0.00011075
7.46250153,0.00013190
7.48634338,0.00012321
7.51018524,0.00007201
7.53402710,0.00006647
7.55786896,0.00010010
7.58171082,0.00012672
7.60555267,0.00011452
7.62939453,0.00008609
7.65323639,0.00007430
7.67707825,0.00009881
7.70092010,0.00012288
7.72476196,0.00012539
7.74860382,0.00010891
7.77244568,0.00006653
7.79628754,0.00005395
7.82012939,0.00006688
7.84397125,0.00005796
7.86781311,0.00003424
7.89165497,0.00003810
7.91549683,0.00011016
7.93933868,0.00019643
7.96318054,0.00026740
7.98702240,0.00030733
8.01086426,0.00028137
8.03470612,0.00019352
8.05854797,0.00011236
8.08238983,0.00009232
8.10623169,0.00015512
8.13007355,0.00018151
8.15391541,0.00013610
8.17775726,0.00011282
8.20159912,0.00013954
8.22544098,0.00015537
8.24928284,0.00017759
8.27312469,0.00019527
8.29696655,0.00017742
8.32080841,0.00014308
8.34465027,0.00010962
8.36849213,0.00006554
8.39233398,0.00003368
8.41617584,0.00003767
8.44001770,0.00003577
8.46385956,0.00007700
8.48770142,0.00012330
8.51154327,0.00013216
8.53538513,0.00014552
8.55922699,0.00015778
8.58306885,0.00014002
8.60691071,0.00009881
8.63075256,0.00006283
8.65459442,0.00004601
8.67843628,0.00006338
8.70227814,0.00008842
8.72612000,0.00010899
8.74996185,0.00016124
8.77380371,0.00020586
8.79764557,0.00025300
8.82148743,0.00025986
8.84532928,0.00017627
8.86917114,0.00006682
8.89301300,0.00003537
8.91685486,0.00006550
8.94069672,0.00006817
8.96453857,0.00004812
8.98838043,0.00013559
9.01222229,0.00020908
9.03606415,0.00027369
9.05990601,0.00029932
9.08374786,0.00024871
9.10758972,0.00018704
9.13143158,0.00015926
9.15527344,0.00010594
9.17911530,0.00011031
9.20295715,0.00015245
9.22679901,0.00018071
9.25064087,0.00023494
9.27448273,0.00025269
9.29832458,0.00020398
9.32216644,0.00013926
9.34600830,0.00008969
9.36985016,0.00011798
9.39369202,0.00015943
9.41753387,0.00016318
9.44137573,0.00013754
9.46521759,0.00004908
9.48905945,0.00006891
9.51290131,0.00013062
9.53674316,0.00016198
9.56058502,0.00014442
9.58442688,0.00011895
9.60826874,0.00015873
9.63211060,0.00018709
9.65595245,0.00017987
9.67979431,0.00018013
9.70363617,0.00015944
9.72747803,0.00010305
9.75131989,0.00009053
9.77516174,0.00011354
9.79900360,0.00010587
9.82284546,0.00007592
9.84668732,0.00011374
9.87052917,0.00018910
9.89437103,0.00019544
9.91821289,0.00017868
9.94205475,0.00018467
9.96589661,0.00017543
9.98973846,0.00019203
10.01358032,0.00018705
10.03742218,0.00015463
10.06126404,0.00010289
10.08510590,0.00003897
10.10894775,0.00001489
10.13278961,0.00005237
10.15663147,0.00008813
10.18047333,0.00008810
10.20431519,0.00011065
10.22815704,0.00010957
10.25199890,0.00006145
10.27584076,0.00012504
10.29968262,0.00020743
10.32352448,0.00021063
10.34736633,0.00013256
10.37120819,0.00000882
10.39505005,0.00013038
10.41889191,0.00018657
10.44273376,0.00017466
10.46657562,0.00019251
10.49041748,0.00020299
10.51425934,0.00023539
10.53810120,0.00025794
10.56194305,0.00022225
10.58578491,0.00016390
10.60962677,0.00012022
10.63346863,0.00014026
10.65731049,0.00016761
10.68115234,0.00017341
10.70499420,0.00017657
10.72883606,0.00016519
10.75267792,0.00013095
10.77651978,0.00013073
10.80036163,0.00009422
10.82420349,0.00012254
10.84804535,0.00017308
10.87188721,0.00019631
10.89572906,0.00021670
10.91957092,0.00021339
10.94341278,0.00019151
10.96725464,0.00014503
10.99109650,0.00013754
11.01493835,0.00023274
11.03878021,0.00029395
11.06262207,0.00032594
11.08646393,0.00026272
11.11030579,0.00015926
11.13414764,0.00014823
11.15798950,0.00015433
11.18183136,0.00017086
11.20567322,0.00018732
11.22951508,0.00016147
11.25335693,0.00016834
11.27719879,0.00017568
11.30104065,0.00017475
11.32488251,0.00019010
11.34872437,0.00014418
11.37256622,0.00008360
11.39640808,0.00006847
11.42024994,0.00002093
11.44409180,0.00005379
11.46793365,0.00007165
11.49177551,0.00009497
11.51561737,0.00012030
11.53945923,0.00012866
11.56330109,0.00012797
11.58714294,0.00012539
11.61098480,0.00012868
11.63482666,0.00007664
11.65866852,0.00002462
11.68251038,0.00004414
11.70635223,0.00009217
11.73019409,0.00009256
11.75403595,0.00007812
11.77787781,0.00007425
11.80171967,0.00006002
11.82556152,0.00006762
11.84940338,0.00005751
11.87324524,0.00009842
11.89708710,0.00011339
11.92092896,0.00005779
11.94477081,0.00005327
11.96861267,0.00009206
11.99245453,0.00013126
12.01629639,0.00021703
12.04013824,0.00031159
12.06398010,0.00031575
12.08782196,0.00025443
12.11166382,0.00021447
12.13550568,0.00018257
12.15934753,0.00015252
12.18318939,0.00014657
12.20703125,0.00015212
12.23087311,0.00021482
12.25471497,0.00027326
12.27855682,0.00030346
12.30239868,0.00032184
12.32624054,0.00030589
12.35008240,0.00025778
12.37392426,0.00020706
12.39776611,0.00017885
12.42160797,0.00017251
12.44544983,0.00013590
12.46929169,0.00007726
12.49313354,0.00005309
12.51697540,0.00006096
12.54081726,0.00006141
12.56465912,0.00003080
12.58850098,0.00004879
12.61234283,0.00009670
12.63618469,0.00009613
12.66002655,0.00004149
12.68386841,0.00004372
12.70771027,0.00005037
12.73155212,0.00006898
12.75539398,0.00004644
12.77923584,0.00005013
12.80307770,0.00010796
12.82691956,0.00019324
12.85076141,0.00020770
12.87460327,0.00023153
12.89844513,0.00029846
12.92228699,0.00034492
12.94612885,0.00035801
12.96997070,0.00038357
12.99381256,0.00032875
13.01765442,0.00022116
13.04149628,0.00022635
13.06533813,0.00026564
13.08917999,0.00025287
13.11302185,0.00021745
13.13686371,0.00015007
13.16070557,0.00009640
13.18454742,0.00013637
13.20838928,0.00018018
13.23223114,0.00019923
13.25607300,0.00018838
13.27991486,0.00015964
13.30375671,0.00012060
13.32759857,0.00006090
13.35144043,0.00002637
13.37528229,0.00006298
13.39912415,0.00011730
13.42296600,0.00013925
13.44680786,0.00012303
13.47064972,0.00007516
13.49449158,0.00002607
13.51833344,0.00006232
13.54217529,0.00006556
13.56601715,0.00007198
13.58985901,0.00009900
13.61370087,0.00008070
13.63754272,0.00005655
13.66138458,0.00010404
13.68522644,0.00013408
13.70906830,0.00012026
13.73291016,0.00008666
13.75675201,0.00004468
13.78059387,0.00002633
13.80443573,0.00001716
13.82827759,0.00002472
13.85211945,0.00003264
