Частота,Канал A
(kГц),(В)

0.00000000,0.27447770
0.02384186,0.18898160
0.04768372,0.12758750
0.07152557,0.03930907
0.09536743,0.00318237
0.11920929,0.00025939
0.14305115,0.00034675
0.16689301,0.00039918
0.19073486,0.00041568
0.21457672,0.00036484
0.23841858,0.00027772
0.26226044,0.00039197
0.28610229,0.00052170
0.30994415,0.00053088
0.33378601,0.00053712
0.35762787,0.00043577
0.38146973,0.00039584
0.40531158,0.00036745
0.42915344,0.00025451
0.45299530,0.00013588
0.47683716,0.00016403
0.50067902,0.00024624
0.52452087,0.00024534
0.54836273,0.00028370
0.57220459,0.00037759
0.59604645,0.00040709
0.61988831,0.00030139
0.64373016,0.00028070
0.66757202,0.00029075
0.69141388,0.00038080
0.71525574,0.00048002
0.73909760,0.00047734
0.76293945,0.00041076
0.78678131,0.00034586
0.81062317,0.00020016
0.83446503,0.00007895
0.85830688,0.00008228
0.88214874,0.00025738
0.90599060,0.00033383
0.92983246,0.00037393
0.95367432,0.00035415
0.97751617,0.00037770
1.00135803,0.00036323
1.02519989,0.00030664
1.04904175,0.00029711
1.07288361,0.00038746
1.09672546,0.00031325
1.12056732,0.00029657
1.14440918,0.00038623
1.16825104,0.00030090
1.19209290,0.00023840
1.21593475,0.00022488
1.23977661,0.00009415
1.26361847,0.00010156
1.28746033,0.00026739
1.31130219,0.00043426
1.33514404,0.00045925
1.35898590,0.00053125
1.38282776,0.00059290
1.40666962,0.00050107
1.43051147,0.00029062
1.45435333,0.00008680
1.47819519,0.00016622
1.50203705,0.00037115
1.52587891,0.00033334
1.54972076,0.00013805
1.57356262,0.00008850
1.59740448,0.00009368
1.62124634,0.00005048
1.64508820,0.00010361
1.66893005,0.00017096
1.69277191,0.00025681
1.71661377,0.00025671
1.74045563,0.00006788
1.76429749,0.00002501
1.78813934,0.00014929
1.81198120,0.00027637
1.83582306,0.00035731
1.85966492,0.00039091
1.88350677,0.00039549
1.90734863,0.00040169
1.93119049,0.00036244
1.95503235,0.00023867
1.97887421,0.00008172
2.00271606,0.00010078
2.02655792,0.00024187
2.05039978,0.00027022
2.07424164,0.00020591
2.09808350,0.00010721
2.12192535,0.00014585
2.14576721,0.00041400
2.16960907,0.00060205
2.19345093,0.00068483
2.21729279,0.00071981
2.24113464,0.00064992
2.26497650,0.00052403
2.28881836,0.00034574
2.31266022,0.00014065
2.33650208,0.00027471
2.36034393,0.00041151
2.38418579,0.00045161
2.40802765,0.00054092
2.43186951,0.00068750
2.45571136,0.00067654
2.47955322,0.00059960
2.50339508,0.00043523
2.52723694,0.00021651
2.55107880,0.00023988
2.57492065,0.00034174
2.59876251,0.00042035
2.62260437,0.00036046
2.64644623,0.00021965
2.67028809,0.00014331
2.69412994,0.00028533
2.71797180,0.00043308
2.74181366,0.00047249
2.76565552,0.00049252
2.78949738,0.00046247
2.81333923,0.00038424
2.83718109,0.00032652
2.86102295,0.00023574
2.88486481,0.00005983
2.90870667,0.00012482
2.93254852,0.00023425
2.95639038,0.00022075
2.98023224,0.00012290
3.00407410,0.00010220
3.02791595,0.00013284
3.05175781,0.00023546
3.07559967,0.00030232
3.09944153,0.00035662
3.12328339,0.00033795
3.14712524,0.00026729
3.17096710,0.00024533
3.19480896,0.00032858
3.21865082,0.00036009
3.24249268,0.00036760
3.26633453,0.00036841
3.29017639,0.00032823
3.31401825,0.00031964
3.33786011,0.00032315
3.36170197,0.00024774
3.38554382,0.00012841
3.40938568,0.00010653
3.43322754,0.00022917
3.45706940,0.00031424
3.48091125,0.00026091
3.50475311,0.00010782
3.52859497,0.00009732
3.55243683,0.00008282
3.57627869,0.00016477
3.60012054,0.00031371
3.62396240,0.00037871
3.64780426,0.00036526
3.67164612,0.00030856
3.69548798,0.00016212
3.71932983,0.00017650
3.74317169,0.00017591
3.76701355,0.00004443
3.79085541,0.00017326
3.81469727,0.00030756
3.83853912,0.00039732
3.86238098,0.00027883
3.88622284,0.00014088
3.91006470,0.00005914
3.93390656,0.00011427
3.95774841,0.00024985
3.98159027,0.00031751
4.00543213,0.00040185
4.02927399,0.00046824
4.05311584,0.00041422
4.07695770,0.00035035
4.10079956,0.00041256
4.12464142,0.00049865
4.14848328,0.00048532
4.17232513,0.00041895
4.19616699,0.00027745
4.22000885,0.00004455
4.24385071,0.00018608
4.26769257,0.00032360
4.29153442,0.00038864
4.31537628,0.00038983
4.33921814,0.00032399
4.36306000,0.00014574
4.38690186,0.00018338
4.41074371,0.00038125
4.43458557,0.00047931
4.45842743,0.00042106
4.48226929,0.00031127
4.50611115,0.00012499
4.52995300,0.00047799
4.55379486,0.00075942
4.57763672,0.00087353
4.60147858,0.00086785
4.62532043,0.00071873
4.64916229,0.00049000
4.67300415,0.00026337
4.69684601,0.00015279
4.72068787,0.00008831
4.74452972,0.00024802
4.76837158,0.00027596
4.79221344,0.00021840
4.81605530,0.00017194
4.83989716,0.00022423
4.86373901,0.00038982
4.88758087,0.00048933
4.91142273,0.00035770
4.93526459,0.00012372
4.95910645,0.00010707
4.98294830,0.00034672
5.00679016,0.00036524
5.03063202,0.00020072
5.05447388,0.00016596
5.07831573,0.00017312
5.10215759,0.00018449
5.12599945,0.00019718
5.14984131,0.00026436
5.17368317,0.00030184
5.19752502,0.00028185
5.22136688,0.00011179
5.24520874,0.00016593
5.26905060,0.00035037
5.29289246,0.00036637
5.31673431,0.00025997
5.34057617,0.00024428
5.36441803,0.00039581
5.38825989,0.00044407
5.41210175,0.00043340
5.43594360,0.00043097
5.45978546,0.00043765
5.48362732,0.00036342
5.50746918,0.00029637
5.53131104,0.00024949
5.55515289,0.00024803
5.57899475,0.00021277
5.60283661,0.00018437
5.62667847,0.00020616
5.65052032,0.00021533
5.67436218,0.00018400
5.69820404,0.00022847
5.72204590,0.00031245
5.74588776,0.00031357
5.76972961,0.00027891
5.79357147,0.00031149
5.81741333,0.00031282
5.84125519,0.00016718
5.86509705,0.00002546
5.88893890,0.00007756
5.91278076,0.00011655
5.93662262,0.00007323
5.96046448,0.00017070
5.98430634,0.00021973
6.00814819,0.00019784
6.03199005,0.00023589
6.05583191,0.00030461
6.07967377,0.00031690
6.10351563,0.00038412
6.12735748,0.00047275
6.15119934,0.00043585
6.17504120,0.00034770
6.19888306,0.00027094
6.22272491,0.00016116
6.24656677,0.00011662
6.27040863,0.00016445
6.29425049,0.00016825
6.31809235,0.00012144
6.34193420,0.00004079
6.36577606,0.00005882
6.38961792,0.00017319
6.41345978,0.00028922
6.43730164,0.00032267
6.46114349,0.00024094
6.48498535,0.00011616
6.50882721,0.00017453
6.53266907,0.00044349
6.55651093,0.00064097
6.58035278,0.00057386
6.60419464,0.00039773
6.62803650,0.00029184
6.65187836,0.00033072
6.67572021,0.00049842
6.69956207,0.00061960
6.72340393,0.00061858
6.74724579,0.00058092
6.77108765,0.00048152
6.79492950,0.00029419
6.81877136,0.00011911
6.84261322,0.00019882
6.86645508,0.00039785
6.89029694,0.00047866
6.91413879,0.00050746
6.93798065,0.00043290
6.96182251,0.00026821
6.98566437,0.00013224
7.00950623,0.00025657
7.03334808,0.00037330
7.05718994,0.00041113
7.08103180,0.00047165
7.10487366,0.00050433
7.12871552,0.00050942
7.15255737,0.00045687
7.17639923,0.00024474
7.20024109,0.00012182
7.22408295,0.00026489
7.24792480,0.00026870
7.27176666,0.00014585
7.29560852,0.00006149
7.31945038,0.00012619
7.34329224,0.00018925
7.36713409,0.00014781
7.39097595,0.00007573
7.41481781,0.00001551
7.43865967,0.00010015
7.46250153,0.00013746
7.48634338,0.00011060
7.51018524,0.00021290
7.53402710,0.00031263
7.55786896,0.00032995
7.58171082,0.00030940
7.60555267,0.00025649
7.62939453,0.00023987
7.65323639,0.00035404
7.67707825,0.00048972
7.70092010,0.00054415
7.72476196,0.00054934
7.74860382,0.00040997
7.77244568,0.00018545
7.79628754,0.00015751
7.82012939,0.00019178
7.84397125,0.00030118
7.86781311,0.00036125
7.89165497,0.00043311
7.91549683,0.00050984
7.93933868,0.00036442
7.96318054,0.00014366
7.98702240,0.00011615
8.01086426,0.00011057
8.03470612,0.00012080
8.05854797,0.00017094
8.08238983,0.00020708
8.10623169,0.00019199
8.13007355,0.00014664
8.15391541,0.00020074
8.17775726,0.00021879
8.20159912,0.00017791
8.22544098,0.00014237
8.24928284,0.00007430
8.27312469,0.00001698
8.29696655,0.00004610
8.32080841,0.00011489
8.34465027,0.00025955
8.36849213,0.00050301
8.39233398,0.00058879
8.41617584,0.00043995
8.44001770,0.00044158
8.46385956,0.00064025
8.48770142,0.00074005
8.51154327,0.00065431
8.53538513,0.00044126
8.55922699,0.00032276
8.58306885,0.00033825
8.60691071,0.00038890
8.63075256,0.00029988
8.65459442,0.00010505
8.67843628,0.00013920
8.70227814,0.00021732
8.72612000,0.00022346
8.74996185,0.00027929
8.77380371,0.00031792
8.79764557,0.00026172
8.82148743,0.00016467
8.84532928,0.00006642
8.86917114,0.00011754
8.89301300,0.00016480
8.91685486,0.00018470
8.94069672,0.00035786
8.96453857,0.00047492
8.98838043,0.00047805
9.01222229,0.00061289
9.03606415,0.00075361
9.05990601,0.00066072
9.08374786,0.00044646
9.10758972,0.00024455
9.13143158,0.00007113
9.15527344,0.00011335
9.17911530,0.00013137
9.20295715,0.00010834
9.22679901,0.00010942
9.25064087,0.00001657
9.27448273,0.00010131
9.29832458,0.00022468
9.32216644,0.00041643
9.34600830,0.00057038
9.36985016,0.00054802
9.39369202,0.00042797
9.41753387,0.00026962
9.44137573,0.00014691
9.46521759,0.00027810
9.48905945,0.00029410
9.51290131,0.00032087
9.53674316,0.00037275
9.56058502,0.00038810
9.58442688,0.00033307
9.60826874,0.00021296
9.63211060,0.00011237
9.65595245,0.00011757
9.67979431,0.00013595
9.70363617,0.00014829
9.72747803,0.00015067
9.75131989,0.00025157
9.77516174,0.00046935
9.79900360,0.00065674
9.82284546,0.00078132
9.84668732,0.00076504
9.87052917,0.00062355
9.89437103,0.00046181
9.91821289,0.00034779
9.94205475,0.00034061
9.96589661,0.00040494
9.98973846,0.00052396
10.01358032,0.00058647
10.03742218,0.00058958
10.06126404,0.00057060
10.08510590,0.00046780
10.10894775,0.00035166
10.13278961,0.00025161
10.15663147,0.00022586
10.18047333,0.00030230
10.20431519,0.00036185
10.22815704,0.00034106
10.25199890,0.00024289
10.27584076,0.00031099
10.29968262,0.00048972
10.32352448,0.00054017
10.34736633,0.00052812
10.37120819,0.00054322
10.39505005,0.00057779
10.41889191,0.00068328
10.44273376,0.00076810
10.46657562,0.00076847
10.49041748,0.00068202
10.51425934,0.00053940
10.53810120,0.00040450
10.56194305,0.00029382
10.58578491,0.00024155
10.60962677,0.00021004
10.63346863,0.00017201
10.65731049,0.00019968
10.68115234,0.00026152
10.70499420,0.00029935
10.72883606,0.00035573
10.75267792,0.00030790
10.77651978,0.00016801
10.80036163,0.00012611
10.82420349,0.00032347
10.84804535,0.00044053
10.87188721,0.00041398
10.89572906,0.00027713
10.91957092,0.00010641
10.94341278,0.00018331
10.96725464,0.00029773
10.99109650,0.00032147
11.01493835,0.00029961
11.03878021,0.00030108
11.06262207,0.00029498
11.08646393,0.00028055
11.11030579,0.00023295
11.13414764,0.00009300
11.15798950,0.00010782
11.18183136,0.00017763
11.20567322,0.00029945
11.22951508,0.00035972
11.25335693,0.00031255
11.27719879,0.00030880
11.30104065,0.00023310
11.32488251,0.00014695
11.34872437,0.00018292
11.37256622,0.00029801
11.39640808,0.00027484
11.42024994,0.00013656
11.44409180,0.00015430
11.46793365,0.00023742
11.49177551,0.00041833
11.51561737,0.00048353
11.53945923,0.00037636
11.56330109,0.00029656
11.58714294,0.00022061
11.61098480,0.00012159
11.63482666,0.00023926
11.65866852,0.00037467
11.68251038,0.00049154
11.70635223,0.00054785
11.73019409,0.00048267
11.75403595,0.00035595
11.77787781,0.00020791
11.80171967,0.00017034
11.82556152,0.00033541
11.84940338,0.00035462
11.87324524,0.00032597
11.89708710,0.00028113
11.92092896,0.00025134
11.94477081,0.00026131
11.96861267,0.00026824
11.99245453,0.00020829
12.01629639,0.00015086
12.04013824,0.00023290
12.06398010,0.00024126
12.08782196,0.00014548
12.11166382,0.00005646
12.13550568,0.00009510
12.15934753,0.00009316
12.18318939,0.00003872
12.20703125,0.00008842
12.23087311,0.00015321
12.25471497,0.00020595
12.27855682,0.00022727
12.30239868,0.00017730
12.32624054,0.00012330
12.35008240,0.00015614
12.37392426,0.00023666
12.39776611,0.00026471
12.42160797,0.00028438
12.44544983,0.00034503
12.46929169,0.00033326
12.49313354,0.00028245
12.51697540,0.00035248
12.54081726,0.00048727
12.56465912,0.00050073
12.58850098,0.00054861
12.61234283,0.00066810
12.63618469,0.00062692
12.66002655,0.00054113
12.68386841,0.00053640
12.70771027,0.00043576
12.73155212,0.00026727
12.75539398,0.00009817
12.77923584,0.00004380
12.80307770,0.00005195
12.82691956,0.00013997
12.85076141,0.00022251
12.87460327,0.00029730
12.89844513,0.00026320
12.92228699,0.00009261
12.94612885,0.00008505
12.96997070,0.00018435
12.99381256,0.00030927
13.01765442,0.00050057
13.04149628,0.00058627
13.06533813,0.00050629
13.08917999,0.00040585
13.11302185,0.00030647
13.13686371,0.00026613
13.16070557,0.00035316
13.18454742,0.00033105
13.20838928,0.00032166
13.23223114,0.00032594
13.25607300,0.00032608
13.27991486,0.00042287
13.30375671,0.00041560
13.32759857,0.00036534
13.35144043,0.00032359
13.37528229,0.00027593
13.39912415,0.00020548
13.42296600,0.00011444
13.44680786,0.00005953
13.47064972,0.00011820
13.49449158,0.00019575
13.51833344,0.00026629
13.54217529,0.00028498
13.56601715,0.00031042
13.58985901,0.00025242
13.61370087,0.00021928
13.63754272,0.00036778
13.66138458,0.00046123
13.68522644,0.00044770
13.70906830,0.00035572
13.73291016,0.00027131
13.75675201,0.00040381
13.78059387,0.00047861
13.80443573,0.00034513
13.82827759,0.00026629
13.85211945,0.00031851
