Частота,Канал A
(kГц),(В)

0.00000000,3.17561400
0.02384186,2.18632000
0.04768372,1.47661500
0.07152557,0.45728540
0.09536743,0.04028616
0.11920929,0.00024613
0.14305115,0.00005780
0.16689301,0.00013746
0.19073486,0.00021979
0.21457672,0.00012004
0.23841858,0.00036385
0.26226044,0.00015255
0.28610229,0.00028228
0.30994415,0.00015683
0.33378601,0.00023930
0.35762787,0.00019730
0.38146973,0.00020258
0.40531158,0.00012016
0.42915344,0.00020930
0.45299530,0.00003386
0.47683716,0.00014756
0.50067902,0.00007664
0.52452087,0.00011743
0.54836273,0.00013903
0.57220459,0.00012225
0.59604645,0.00004532
0.61988831,0.00008299
0.64373016,0.00017143
0.66757202,0.00014018
0.69141388,0.00023967
0.71525574,0.00011385
0.73909760,0.00020592
0.76293945,0.00007938
0.78678131,0.00019232
0.81062317,0.00003439
0.83446503,0.00004649
0.85830688,0.00017489
0.88214874,0.00009868
0.90599060,0.00020971
0.92983246,0.00002388
0.95367432,0.00008542
0.97751617,0.00013268
1.00135803,0.00009139
1.02519989,0.00012665
1.04904175,0.00002867
1.07288361,0.00003307
1.09672546,0.00032359
1.12056732,0.00033928
1.14440918,0.00051220
1.16825104,0.00044442
1.19209290,0.00034235
1.21593475,0.00013328
1.23977661,0.00013146
1.26361847,0.00005799
1.28746033,0.00010244
1.31130219,0.00010002
1.33514404,0.00008543
1.35898590,0.00025827
1.38282776,0.00016733
1.40666962,0.00020097
1.43051147,0.00017608
1.45435333,0.00020035
1.47819519,0.00016863
1.50203705,0.00014819
1.52587891,0.00008841
1.54972076,0.00022190
1.57356262,0.00014271
1.59740448,0.00019291
1.62124634,0.00008276
1.64508820,0.00013135
1.66893005,0.00001641
1.69277191,0.00009522
1.71661377,0.00006231
1.74045563,0.00008764
1.76429749,0.00013720
1.78813934,0.00008934
1.81198120,0.00012649
1.83582306,0.00008131
1.85966492,0.00016736
1.88350677,0.00017016
1.90734863,0.00020848
1.93119049,0.00020997
1.95503235,0.00016155
1.97887421,0.00007847
2.00271606,0.00007930
2.02655792,0.00011991
2.05039978,0.00017353
2.07424164,0.00014367
2.09808350,0.00012688
2.12192535,0.00004840
2.14576721,0.00009978
2.16960907,0.00009801
2.19345093,0.00015915
2.21729279,0.00010155
2.24113464,0.00009265
2.26497650,0.00010255
2.28881836,0.00012577
2.31266022,0.00018612
2.33650208,0.00012353
2.36034393,0.00015763
2.38418579,0.00011886
2.40802765,0.00016119
2.43186951,0.00016206
2.45571136,0.00013768
2.47955322,0.00008195
2.50339508,0.00009293
2.52723694,0.00021793
2.55107880,0.00025988
2.57492065,0.00024301
2.59876251,0.00014016
2.62260437,0.00011188
2.64644623,0.00005907
2.67028809,0.00006394
2.69412994,0.00008464
2.71797180,0.00007935
2.74181366,0.00008901
2.76565552,0.00008231
2.78949738,0.00004900
2.81333923,0.00008361
2.83718109,0.00011802
2.86102295,0.00014026
2.88486481,0.00013366
2.90870667,0.00011005
2.93254852,0.00010024
2.95639038,0.00008338
2.98023224,0.00001881
3.00407410,0.00000467
3.02791595,0.00004002
3.05175781,0.00010355
3.07559967,0.00013275
3.09944153,0.00012620
3.12328339,0.00010208
3.14712524,0.00006320
3.17096710,0.00001160
3.19480896,0.00006659
3.21865082,0.00006561
3.24249268,0.00006075
3.26633453,0.00008582
3.29017639,0.00010447
3.31401825,0.00006639
3.33786011,0.00005198
3.36170197,0.00005639
3.38554382,0.00009382
3.40938568,0.00010686
3.43322754,0.00008732
3.45706940,0.00004846
3.48091125,0.00002174
3.50475311,0.00002853
3.52859497,0.00004635
3.55243683,0.00007678
3.57627869,0.00011150
3.60012054,0.00011185
3.62396240,0.00015902
3.64780426,0.00015022
3.67164612,0.00015895
3.69548798,0.00013376
3.71932983,0.00011441
3.74317169,0.00003169
3.76701355,0.00003398
3.79085541,0.00011576
3.81469727,0.00018735
3.83853912,0.00020129
3.86238098,0.00015853
3.88622284,0.00014345
3.91006470,0.00011526
3.93390656,0.00011752
3.95774841,0.00009358
3.98159027,0.00013030
4.00543213,0.00012586
4.02927399,0.00013894
4.05311584,0.00006881
4.07695770,0.00010263
4.10079956,0.00013785
4.12464142,0.00015181
4.14848328,0.00013873
4.17232513,0.00008810
4.19616699,0.00003906
4.22000885,0.00007109
4.24385071,0.00009726
4.26769257,0.00015263
4.29153442,0.00010565
4.31537628,0.00007896
4.33921814,0.00011555
4.36306000,0.00012867
4.38690186,0.00014136
4.41074371,0.00007403
4.43458557,0.00005967
4.45842743,0.00002200
4.48226929,0.00003694
4.50611115,0.00002326
4.52995300,0.00006849
4.55379486,0.00010674
4.57763672,0.00015501
4.60147858,0.00014045
4.62532043,0.00012803
4.64916229,0.00010414
4.67300415,0.00005849
4.69684601,0.00003076
4.72068787,0.00003743
4.74452972,0.00008925
4.76837158,0.00009205
4.79221344,0.00012897
4.81605530,0.00008001
4.83989716,0.00009225
4.86373901,0.00006545
4.88758087,0.00009436
4.91142273,0.00009768
4.93526459,0.00012164
4.95910645,0.00008078
4.98294830,0.00006964
5.00679016,0.00003246
5.03063202,0.00010824
5.05447388,0.00018487
5.07831573,0.00018168
5.10215759,0.00014419
5.12599945,0.00010041
5.14984131,0.00006587
5.17368317,0.00013204
5.19752502,0.00015817
5.22136688,0.00018888
5.24520874,0.00016098
5.26905060,0.00015989
5.29289246,0.00014374
5.31673431,0.00010196
5.34057617,0.00006010
5.36441803,0.00009141
5.38825989,0.00011160
5.41210175,0.00014270
5.43594360,0.00015292
5.45978546,0.00019579
5.48362732,0.00025369
5.50746918,0.00025937
5.53131104,0.00019094
5.55515289,0.00014073
5.57899475,0.00010780
5.60283661,0.00006582
5.62667847,0.00005662
5.65052032,0.00012329
5.67436218,0.00014004
5.69820404,0.00007325
5.72204590,0.00002846
5.74588776,0.00004034
5.76972961,0.00007260
5.79357147,0.00010298
5.81741333,0.00012894
5.84125519,0.00011964
5.86509705,0.00008274
5.88893890,0.00006104
5.91278076,0.00011015
5.93662262,0.00015398
5.96046448,0.00012074
5.98430634,0.00006311
6.00814819,0.00001380
6.03199005,0.00004635
6.05583191,0.00009064
6.07967377,0.00013125
6.10351563,0.00012983
6.12735748,0.00008861
6.15119934,0.00009331
6.17504120,0.00011411
6.19888306,0.00010585
6.22272491,0.00010056
6.24656677,0.00010491
6.27040863,0.00012308
6.29425049,0.00005001
6.31809235,0.00008395
6.34193420,0.00016787
6.36577606,0.00021330
6.38961792,0.00023694
6.41345978,0.00020452
6.43730164,0.00022495
6.46114349,0.00028204
6.48498535,0.00025445
6.50882721,0.00019225
6.53266907,0.00015097
6.55651093,0.00018342
6.58035278,0.00022944
6.60419464,0.00025510
6.62803650,0.00019949
6.65187836,0.00010582
6.67572021,0.00005043
6.69956207,0.00007050
6.72340393,0.00008008
6.74724579,0.00017563
6.77108765,0.00024595
6.79492950,0.00027253
6.81877136,0.00022177
6.84261322,0.00012636
6.86645508,0.00007413
6.89029694,0.00007122
6.91413879,0.00001910
6.93798065,0.00008916
6.96182251,0.00013557
6.98566437,0.00014339
7.00950623,0.00013784
7.03334808,0.00017148
7.05718994,0.00012999
7.08103180,0.00009263
7.10487366,0.00008359
7.12871552,0.00011104
7.15255737,0.00014292
7.17639923,0.00018259
7.20024109,0.00026892
7.22408295,0.00029278
7.24792480,0.00029693
7.27176666,0.00029981
7.29560852,0.00026816
7.31945038,0.00013303
7.34329224,0.00007551
7.36713409,0.00010841
7.39097595,0.00016609
7.41481781,0.00018396
7.43865967,0.00015208
7.46250153,0.00012284
7.48634338,0.00011307
7.51018524,0.00009417
7.53402710,0.00008698
7.55786896,0.00003766
7.58171082,0.00009363
7.60555267,0.00017231
7.62939453,0.00020422
7.65323639,0.00024368
7.67707825,0.00022208
7.70092010,0.00015577
7.72476196,0.00005290
7.74860382,0.00003172
7.77244568,0.00008640
7.79628754,0.00010983
7.82012939,0.00011890
7.84397125,0.00011254
7.86781311,0.00011653
7.89165497,0.00009549
7.91549683,0.00006729
7.93933868,0.00002027
7.96318054,0.00003679
7.98702240,0.00006595
8.01086426,0.00008710
8.03470612,0.00009732
8.05854797,0.00006403
8.08238983,0.00007186
8.10623169,0.00005452
8.13007355,0.00003700
8.15391541,0.00004848
8.17775726,0.00006932
8.20159912,0.00005913
8.22544098,0.00005322
8.24928284,0.00007502
8.27312469,0.00008967
8.29696655,0.00174292
8.32080841,0.01145798
8.34465027,0.02644470
8.36849213,0.03245876
8.39233398,0.03263355
8.41617584,0.02909860
8.44001770,0.01534985
8.46385956,0.00316035
8.48770142,0.00010439
8.51154327,0.00008120
8.53538513,0.00000493
8.55922699,0.00001717
8.58306885,0.00006716
8.60691071,0.00010797
8.63075256,0.00017270
8.65459442,0.00016945
8.67843628,0.00019981
8.70227814,0.00019489
8.72612000,0.00012533
8.74996185,0.00000593
8.77380371,0.00002780
8.79764557,0.00003576
8.82148743,0.00002466
8.84532928,0.00007775
8.86917114,0.00015893
8.89301300,0.00016111
8.91685486,0.00015982
8.94069672,0.00017101
8.96453857,0.00016214
8.98838043,0.00012947
9.01222229,0.00009109
9.03606415,0.00009420
9.05990601,0.00008908
9.08374786,0.00014332
9.10758972,0.00017944
9.13143158,0.00020563
9.15527344,0.00024160
9.17911530,0.00022201
9.20295715,0.00015622
9.22679901,0.00013744
9.25064087,0.00018894
9.27448273,0.00021248
9.29832458,0.00019484
9.32216644,0.00012690
9.34600830,0.00006093
9.36985016,0.00004308
9.39369202,0.00001985
9.41753387,0.00008539
9.44137573,0.00013360
9.46521759,0.00025502
9.48905945,0.00031033
9.51290131,0.00025827
9.53674316,0.00020526
9.56058502,0.00013769
9.58442688,0.00004204
9.60826874,0.00004641
9.63211060,0.00008460
9.65595245,0.00014784
9.67979431,0.00016544
9.70363617,0.00017214
9.72747803,0.00016197
9.75131989,0.00012191
9.77516174,0.00015019
9.79900360,0.00023349
9.82284546,0.00022291
9.84668732,0.00018162
9.87052917,0.00011143
9.89437103,0.00000835
9.91821289,0.00009407
9.94205475,0.00010580
9.96589661,0.00008758
9.98973846,0.00004792
10.01358032,0.00003782
10.03742218,0.00005413
10.06126404,0.00006350
10.08510590,0.00009195
10.10894775,0.00019319
10.13278961,0.00021653
10.15663147,0.00021069
10.18047333,0.00021626
10.20431519,0.00021019
10.22815704,0.00016558
10.25199890,0.00011106
10.27584076,0.00006986
10.29968262,0.00004950
10.32352448,0.00011471
10.34736633,0.00018340
10.37120819,0.00021040
10.39505005,0.00024491
10.41889191,0.00022436
10.44273376,0.00021337
10.46657562,0.00016656
10.49041748,0.00013663
10.51425934,0.00011047
10.53810120,0.00011754
10.56194305,0.00010995
10.58578491,0.00014964
10.60962677,0.00015420
10.63346863,0.00014209
10.65731049,0.00010453
10.68115234,0.00013528
10.70499420,0.00015937
10.72883606,0.00014396
10.75267792,0.00012481
10.77651978,0.00004877
10.80036163,0.00006468
10.82420349,0.00012818
10.84804535,0.00016976
10.87188721,0.00021514
10.89572906,0.00020239
10.91957092,0.00016790
10.94341278,0.00017541
10.96725464,0.00018122
10.99109650,0.00015413
11.01493835,0.00010021
11.03878021,0.00004255
11.06262207,0.00004234
11.08646393,0.00008663
11.11030579,0.00006434
11.13414764,0.00000903
11.15798950,0.00001872
11.18183136,0.00000970
11.20567322,0.00006826
11.22951508,0.00010505
11.25335693,0.00016635
11.27719879,0.00018588
11.30104065,0.00020533
11.32488251,0.00021616
11.34872437,0.00025956
11.37256622,0.00026048
11.39640808,0.00023556
11.42024994,0.00015198
11.44409180,0.00006955
11.46793365,0.00001925
11.49177551,0.00004400
11.51561737,0.00007334
11.53945923,0.00002789
11.56330109,0.00005272
11.58714294,0.00007795
11.61098480,0.00007996
11.63482666,0.00005583
11.65866852,0.00003317
11.68251038,0.00003085
11.70635223,0.00003232
11.73019409,0.00006671
11.75403595,0.00010469
11.77787781,0.00011919
11.80171967,0.00014089
11.82556152,0.00012562
11.84940338,0.00009446
11.87324524,0.00007554
11.89708710,0.00005303
11.92092896,0.00005415
11.94477081,0.00011731
11.96861267,0.00011493
11.99245453,0.00006205
12.01629639,0.00003553
12.04013824,0.00006426
12.06398010,0.00009041
12.08782196,0.00007262
12.11166382,0.00007487
12.13550568,0.00006914
12.15934753,0.00005825
12.18318939,0.00007965
12.20703125,0.00008213
12.23087311,0.00008480
12.25471497,0.00010900
12.27855682,0.00010535
12.30239868,0.00009290
12.32624054,0.00011919
12.35008240,0.00012986
12.37392426,0.00012189
12.39776611,0.00008063
12.42160797,0.00003879
12.44544983,0.00008700
12.46929169,0.00009642
12.49313354,0.00006940
12.51697540,0.00003600
12.54081726,0.00009788
12.56465912,0.00009922
12.58850098,0.00009841
12.61234283,0.00013765
12.63618469,0.00013020
12.66002655,0.00014542
12.68386841,0.00015093
12.70771027,0.00015525
12.73155212,0.00016788
12.75539398,0.00022508
12.77923584,0.00025301
12.80307770,0.00024654
12.82691956,0.00017912
12.85076141,0.00010143
12.87460327,0.00009194
12.89844513,0.00011337
12.92228699,0.00008624
12.94612885,0.00007006
12.96997070,0.00005199
12.99381256,0.00002841
13.01765442,0.00006061
13.04149628,0.00003880
13.06533813,0.00003231
13.08917999,0.00007910
13.11302185,0.00012504
13.13686371,0.00014829
13.16070557,0.00014918
13.18454742,0.00012398
13.20838928,0.00009510
13.23223114,0.00009819
13.25607300,0.00015265
13.27991486,0.00017493
13.30375671,0.00017202
13.32759857,0.00013718
13.35144043,0.00008890
13.37528229,0.00004931
13.39912415,0.00008668
13.42296600,0.00010648
13.44680786,0.00007879
13.47064972,0.00004638
13.49449158,0.00001179
13.51833344,0.00005435
13.54217529,0.00006456
13.56601715,0.00008609
13.58985901,0.00008656
13.61370087,0.00009338
13.63754272,0.00008091
13.66138458,0.00003150
13.68522644,0.00007874
13.70906830,0.00010929
13.73291016,0.00012386
13.75675201,0.00008282
13.78059387,0.00007815
13.80443573,0.00002846
13.82827759,0.00004815
13.85211945,0.00010420
