Частота,Канал A
(kГц),(В)

0.00000000,3.17189700
0.02384186,2.18371600
0.04768372,1.47475700
0.07152557,0.45652480
0.09536743,0.03992575
0.11920929,0.00021268
0.14305115,0.00033901
0.16689301,0.00019615
0.19073486,0.00028124
0.21457672,0.00022188
0.23841858,0.00023554
0.26226044,0.00010680
0.28610229,0.00010874
0.30994415,0.00014881
0.33378601,0.00015407
0.35762787,0.00014025
0.38146973,0.00020788
0.40531158,0.00010506
0.42915344,0.00015117
0.45299530,0.00013096
0.47683716,0.00020503
0.50067902,0.00018864
0.52452087,0.00019881
0.54836273,0.00003084
0.57220459,0.00016888
0.59604645,0.00023255
0.61988831,0.00024228
0.64373016,0.00015815
0.66757202,0.00020085
0.69141388,0.00016700
0.71525574,0.00014237
0.73909760,0.00031672
0.76293945,0.00020189
0.78678131,0.00027509
0.81062317,0.00007669
0.83446503,0.00012748
0.85830688,0.00008058
0.88214874,0.00001635
0.90599060,0.00019235
0.92983246,0.00013381
0.95367432,0.00029802
0.97751617,0.00016541
1.00135803,0.00023822
1.02519989,0.00004852
1.04904175,0.00005900
1.07288361,0.00015379
1.09672546,0.00008893
1.12056732,0.00022075
1.14440918,0.00011323
1.16825104,0.00017519
1.19209290,0.00010133
1.21593475,0.00009485
1.23977661,0.00015216
1.26361847,0.00010899
1.28746033,0.00024485
1.31130219,0.00013690
1.33514404,0.00017537
1.35898590,0.00002933
1.38282776,0.00001580
1.40666962,0.00013317
1.43051147,0.00007766
1.45435333,0.00020360
1.47819519,0.00009772
1.50203705,0.00019534
1.52587891,0.00011579
1.54972076,0.00015706
1.57356262,0.00003453
1.59740448,0.00005397
1.62124634,0.00012095
1.64508820,0.00008458
1.66893005,0.00008253
1.69277191,0.00009067
1.71661377,0.00006780
1.74045563,0.00004918
1.76429749,0.00014713
1.78813934,0.00011784
1.81198120,0.00017936
1.83582306,0.00007666
1.85966492,0.00016412
1.88350677,0.00013213
1.90734863,0.00021671
1.93119049,0.00018533
1.95503235,0.00018304
1.97887421,0.00008559
2.00271606,0.00004846
2.02655792,0.00011899
2.05039978,0.00006489
2.07424164,0.00017168
2.09808350,0.00013771
2.12192535,0.00018949
2.14576721,0.00016554
2.16960907,0.00021618
2.19345093,0.00015890
2.21729279,0.00014829
2.24113464,0.00007242
2.26497650,0.00011935
2.28881836,0.00005431
2.31266022,0.00006546
2.33650208,0.00005596
2.36034393,0.00003245
2.38418579,0.00008350
2.40802765,0.00007621
2.43186951,0.00007738
2.45571136,0.00003136
2.47955322,0.00002716
2.50339508,0.00006035
2.52723694,0.00016287
2.55107880,0.00017798
2.57492065,0.00023715
2.59876251,0.00020234
2.62260437,0.00015902
2.64644623,0.00009362
2.67028809,0.00009991
2.69412994,0.00013449
2.71797180,0.00009135
2.74181366,0.00008147
2.76565552,0.00010352
2.78949738,0.00017205
2.81333923,0.00022327
2.83718109,0.00023624
2.86102295,0.00019178
2.88486481,0.00015560
2.90870667,0.00011536
2.93254852,0.00007239
2.95639038,0.00003539
2.98023224,0.00005421
3.00407410,0.00008567
3.02791595,0.00012728
3.05175781,0.00016155
3.07559967,0.00017697
3.09944153,0.00018663
3.12328339,0.00017289
3.14712524,0.00013795
3.17096710,0.00010999
3.19480896,0.00014075
3.21865082,0.00014559
3.24249268,0.00007781
3.26633453,0.00009119
3.29017639,0.00010731
3.31401825,0.00017389
3.33786011,0.00016963
3.36170197,0.00013524
3.38554382,0.00009968
3.40938568,0.00012420
3.43322754,0.00013825
3.45706940,0.00013302
3.48091125,0.00010314
3.50475311,0.00011275
3.52859497,0.00008931
3.55243683,0.00007070
3.57627869,0.00010442
3.60012054,0.00010677
3.62396240,0.00010639
3.64780426,0.00009712
3.67164612,0.00008678
3.69548798,0.00005526
3.71932983,0.00010323
3.74317169,0.00010365
3.76701355,0.00012942
3.79085541,0.00009852
3.81469727,0.00008330
3.83853912,0.00005302
3.86238098,0.00006033
3.88622284,0.00010365
3.91006470,0.00006501
3.93390656,0.00011854
3.95774841,0.00009943
3.98159027,0.00009649
4.00543213,0.00017391
4.02927399,0.00016368
4.05311584,0.00019793
4.07695770,0.00018908
4.10079956,0.00024174
4.12464142,0.00021807
4.14848328,0.00023907
4.17232513,0.00022485
4.19616699,0.00019813
4.22000885,0.00022427
4.24385071,0.00024958
4.26769257,0.00026570
4.29153442,0.00019214
4.31537628,0.00011197
4.33921814,0.00013382
4.36306000,0.00019428
4.38690186,0.00024420
4.41074371,0.00017943
4.43458557,0.00014195
4.45842743,0.00001476
4.48226929,0.00005070
4.50611115,0.00010286
4.52995300,0.00009039
4.55379486,0.00015133
4.57763672,0.00016175
4.60147858,0.00022166
4.62532043,0.00028179
4.64916229,0.00050765
4.67300415,0.00057906
4.69684601,0.00057745
4.72068787,0.00049751
4.74452972,0.00021927
4.76837158,0.00002514
4.79221344,0.00002196
4.81605530,0.00005331
4.83989716,0.00007573
4.86373901,0.00014255
4.88758087,0.00016989
4.91142273,0.00020663
4.93526459,0.00011817
4.95910645,0.00009757
4.98294830,0.00002294
5.00679016,0.00003733
5.03063202,0.00006660
5.05447388,0.00002811
5.07831573,0.00001688
5.10215759,0.00005800
5.12599945,0.00005517
5.14984131,0.00007862
5.17368317,0.00004492
5.19752502,0.00005333
5.22136688,0.00012743
5.24520874,0.00011391
5.26905060,0.00010262
5.29289246,0.00047236
5.31673431,0.00400856
5.34057617,0.01072473
5.36441803,0.01430821
5.38825989,0.01456728
5.41210175,0.01362825
5.43594360,0.00813253
5.45978546,0.00208523
5.48362732,0.00011544
5.50746918,0.00005216
5.53131104,0.00006651
5.55515289,0.00003706
5.57899475,0.00004451
5.60283661,0.00001858
5.62667847,0.00003255
5.65052032,0.00006211
5.67436218,0.00006629
5.69820404,0.00003033
5.72204590,0.00004299
5.74588776,0.00011202
5.76972961,0.00015634
5.79357147,0.00017620
5.81741333,0.00021656
5.84125519,0.00022605
5.86509705,0.00022702
5.88893890,0.00021762
5.91278076,0.00019622
5.93662262,0.00013588
5.96046448,0.00007025
5.98430634,0.00003265
6.00814819,0.00009940
6.03199005,0.00031095
6.05583191,0.00052183
6.07967377,0.00057211
6.10351563,0.00057671
6.12735748,0.00043853
6.15119934,0.00016078
6.17504120,0.00007233
6.19888306,0.00008972
6.22272491,0.00009819
6.24656677,0.00008128
6.27040863,0.00008369
6.29425049,0.00011165
6.31809235,0.00012425
6.34193420,0.00012855
6.36577606,0.00010700
6.38961792,0.00010238
6.41345978,0.00011723
6.43730164,0.00014506
6.46114349,0.00014132
6.48498535,0.00013882
6.50882721,0.00009904
6.53266907,0.00007589
6.55651093,0.00011154
6.58035278,0.00012311
6.60419464,0.00010536
6.62803650,0.00012163
6.65187836,0.00011562
6.67572021,0.00010252
6.69956207,0.00011886
6.72340393,0.00017457
6.74724579,0.00023096
6.77108765,0.00025508
6.79492950,0.00024995
6.81877136,0.00021381
6.84261322,0.00013679
6.86645508,0.00012069
6.89029694,0.00012820
6.91413879,0.00011776
6.93798065,0.00004030
6.96182251,0.00003565
6.98566437,0.00003528
7.00950623,0.00002624
7.03334808,0.00000610
7.05718994,0.00003243
7.08103180,0.00007662
7.10487366,0.00014250
7.12871552,0.00015039
7.15255737,0.00013685
7.17639923,0.00008790
7.20024109,0.00010136
7.22408295,0.00014776
7.24792480,0.00013200
7.27176666,0.00011524
7.29560852,0.00009918
7.31945038,0.00011668
7.34329224,0.00013071
7.36713409,0.00017592
7.39097595,0.00014269
7.41481781,0.00015736
7.43865967,0.00018314
7.46250153,0.00021156
7.48634338,0.00020733
7.51018524,0.00024435
7.53402710,0.00020210
7.55786896,0.00015441
7.58171082,0.00010834
7.60555267,0.00010812
7.62939453,0.00005487
7.65323639,0.00005189
7.67707825,0.00006570
7.70092010,0.00004606
7.72476196,0.00003627
7.74860382,0.00004565
7.77244568,0.00008674
7.79628754,0.00007657
7.82012939,0.00012171
7.84397125,0.00012829
7.86781311,0.00015058
7.89165497,0.00016784
7.91549683,0.00020022
7.93933868,0.00018059
7.96318054,0.00016597
7.98702240,0.00015842
8.01086426,0.00015264
8.03470612,0.00011394
8.05854797,0.00008129
8.08238983,0.00004653
8.10623169,0.00003488
8.13007355,0.00009299
8.15391541,0.00011428
8.17775726,0.00010359
8.20159912,0.00003134
8.22544098,0.00002153
8.24928284,0.00010370
8.27312469,0.00013061
8.29696655,0.00013315
8.32080841,0.00013497
8.34465027,0.00013384
8.36849213,0.00013266
8.39233398,0.00015099
8.41617584,0.00014663
8.44001770,0.00011517
8.46385956,0.00010438
8.48770142,0.00010696
8.51154327,0.00011029
8.53538513,0.00013275
8.55922699,0.00014744
8.58306885,0.00016015
8.60691071,0.00012452
8.63075256,0.00006225
8.65459442,0.00006459
8.67843628,0.00012661
8.70227814,0.00014236
8.72612000,0.00013021
8.74996185,0.00013991
8.77380371,0.00016417
8.79764557,0.00016328
8.82148743,0.00015852
8.84532928,0.00015510
8.86917114,0.00015424
8.89301300,0.00013668
8.91685486,0.00011095
8.94069672,0.00009113
8.96453857,0.00012379
8.98838043,0.00015614
9.01222229,0.00017037
9.03606415,0.00014300
9.05990601,0.00010005
9.08374786,0.00008974
9.10758972,0.00008436
9.13143158,0.00006274
9.15527344,0.00004871
9.17911530,0.00008447
9.20295715,0.00010691
9.22679901,0.00009739
9.25064087,0.00007602
9.27448273,0.00010359
9.29832458,0.00008522
9.32216644,0.00003230
9.34600830,0.00011338
9.36985016,0.00017422
9.39369202,0.00021018
9.41753387,0.00018590
9.44137573,0.00017354
9.46521759,0.00026250
9.48905945,0.00029198
9.51290131,0.00025886
9.53674316,0.00022072
9.56058502,0.00020015
9.58442688,0.00013221
9.60826874,0.00008397
9.63211060,0.00005716
9.65595245,0.00007423
9.67979431,0.00006368
9.70363617,0.00004897
9.72747803,0.00006723
9.75131989,0.00011557
9.77516174,0.00011392
9.79900360,0.00013269
9.82284546,0.00013018
9.84668732,0.00011655
9.87052917,0.00016489
9.89437103,0.00017839
9.91821289,0.00016029
9.94205475,0.00011142
9.96589661,0.00008470
9.98973846,0.00007562
10.01358032,0.00016042
10.03742218,0.00028781
10.06126404,0.00039712
10.08510590,0.00041972
10.10894775,0.00039648
10.13278961,0.00028451
10.15663147,0.00019815
10.18047333,0.00012393
10.20431519,0.00007255
10.22815704,0.00006102
10.25199890,0.00010040
10.27584076,0.00011838
10.29968262,0.00011246
10.32352448,0.00013646
10.34736633,0.00012009
10.37120819,0.00010517
10.39505005,0.00006374
10.41889191,0.00010322
10.44273376,0.00013239
10.46657562,0.00011174
10.49041748,0.00009184
10.51425934,0.00005523
10.53810120,0.00001899
10.56194305,0.00001454
10.58578491,0.00002111
10.60962677,0.00003798
10.63346863,0.00004733
10.65731049,0.00011526
10.68115234,0.00031320
10.70499420,0.00135317
10.72883606,0.00286838
10.75267792,0.00345204
10.77651978,0.00344811
10.80036163,0.00303836
10.82420349,0.00157491
10.84804535,0.00038376
10.87188721,0.00015690
10.89572906,0.00018234
10.91957092,0.00018291
10.94341278,0.00017324
10.96725464,0.00017662
10.99109650,0.00014811
11.01493835,0.00010007
11.03878021,0.00008055
11.06262207,0.00010504
11.08646393,0.00008285
11.11030579,0.00007258
11.13414764,0.00007179
11.15798950,0.00015640
11.18183136,0.00018496
11.20567322,0.00012316
11.22951508,0.00006855
11.25335693,0.00013199
11.27719879,0.00022446
11.30104065,0.00025077
11.32488251,0.00021483
11.34872437,0.00013430
11.37256622,0.00007161
11.39640808,0.00019443
11.42024994,0.00069375
11.44409180,0.00106248
11.46793365,0.00116355
11.49177551,0.00116249
11.51561737,0.00080505
11.53945923,0.00030761
11.56330109,0.00005006
11.58714294,0.00007552
11.61098480,0.00016743
11.63482666,0.00021330
11.65866852,0.00018606
11.68251038,0.00010043
11.70635223,0.00009489
11.73019409,0.00013456
11.75403595,0.00014070
11.77787781,0.00008531
11.80171967,0.00002295
11.82556152,0.00005641
11.84940338,0.00012090
11.87324524,0.00016657
11.89708710,0.00015677
11.92092896,0.00007482
11.94477081,0.00004757
11.96861267,0.00016434
11.99245453,0.00020380
12.01629639,0.00015968
12.04013824,0.00010227
12.06398010,0.00005451
12.08782196,0.00001435
12.11166382,0.00005291
12.13550568,0.00010249
12.15934753,0.00009892
12.18318939,0.00014211
12.20703125,0.00017389
12.23087311,0.00017877
12.25471497,0.00017067
12.27855682,0.00010274
12.30239868,0.00009738
12.32624054,0.00014995
12.35008240,0.00019438
12.37392426,0.00018087
12.39776611,0.00012372
12.42160797,0.00008796
12.44544983,0.00007758
12.46929169,0.00006698
12.49313354,0.00003771
12.51697540,0.00003819
12.54081726,0.00004847
12.56465912,0.00005792
12.58850098,0.00005918
12.61234283,0.00005683
12.63618469,0.00013952
12.66002655,0.00018126
12.68386841,0.00017239
12.70771027,0.00014917
12.73155212,0.00012964
12.75539398,0.00010748
12.77923584,0.00011099
12.80307770,0.00010729
12.82691956,0.00005646
12.85076141,0.00008916
12.87460327,0.00017058
12.89844513,0.00020325
12.92228699,0.00018353
12.94612885,0.00012475
12.96997070,0.00008325
12.99381256,0.00009329
13.01765442,0.00012166
13.04149628,0.00012517
13.06533813,0.00011439
13.08917999,0.00010463
13.11302185,0.00001847
13.13686371,0.00006675
13.16070557,0.00011452
13.18454742,0.00013025
13.20838928,0.00014348
13.23223114,0.00011067
13.25607300,0.00010359
13.27991486,0.00007110
13.30375671,0.00006087
13.32759857,0.00006168
13.35144043,0.00006202
13.37528229,0.00006607
13.39912415,0.00006558
13.42296600,0.00009201
13.44680786,0.00012024
13.47064972,0.00013491
13.49449158,0.00008729
13.51833344,0.00007572
13.54217529,0.00009939
13.56601715,0.00011753
13.58985901,0.00013711
13.61370087,0.00018026
13.63754272,0.00019598
13.66138458,0.00018404
13.68522644,0.00012884
13.70906830,0.00006763
13.73291016,0.00005383
13.75675201,0.00008760
13.78059387,0.00010191
13.80443573,0.00011301
13.82827759,0.00015857
13.85211945,0.00014660
